Int. Dep. by Partner,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Afghanistan,1,1,0.1,0.1,2015.0,2015.0,2015.0,2015.0,476.1,476.1,476.1,476.1,69.0,69.0,69.0,69.0,2.0,2.0,2.0,2.0,0.3,0.3,0.0,22.5,22.1,0.4,22.9,22.5,0.4
Angola,1,1,226.2,399.2,2016.0,2016.0,2016.0,2016.0,6604.8,6604.8,6604.8,6604.8,541.0,541.0,541.0,541.0,197.0,197.0,197.0,197.0,19.3,18.0,1.3,1498.5,1396.0,102.5,1527.3,1422.8,104.5
Syrian Arab Republic,1,1,5.5,8.7,2016.0,2016.0,2016.0,2016.0,254.4,254.4,254.4,254.4,26.0,26.0,26.0,26.0,55.0,55.0,55.0,55.0,0.5,0.4,0.1,40.7,31.0,9.7,41.5,31.6,9.9
Ghana,1,1,0.0,0.0,2013.0,2013.0,2013.0,2013.0,27.1,27.1,27.1,27.1,382.0,382.0,382.0,382.0,1447.0,1447.0,1447.0,1447.0,3.2,0.7,2.5,238.7,49.9,188.8,243.3,50.9,192.4
Colombia,1,1,273.8,504.0,2012.0,2012.0,2012.0,2012.0,6181.5,6181.5,6181.5,6181.5,569.0,569.0,569.0,569.0,60.0,60.0,60.0,60.0,16.1,15.8,0.4,1247.8,1220.3,27.5,1271.8,1243.7,28.0
Azerbaijan,1,1,0.3,0.1,1972.0,1972.0,1972.0,1972.0,362.2,362.2,362.2,362.2,251.0,251.0,251.0,251.0,227.0,227.0,227.0,227.0,0.9,0.5,0.4,70.8,37.2,33.6,72.2,37.9,34.3
Uruguay,1,1,377.3,720.4,2010.0,2010.0,2010.0,2010.0,8770.1,8770.1,8770.1,8770.1,1074.0,1074.0,1074.0,1074.0,66.0,66.0,66.0,66.0,21.7,21.2,0.4,1680.0,1645.8,34.2,1712.3,1677.4,34.9
Madagascar,1,1,3.8,2.4,1981.0,1981.0,1981.0,1981.0,689.4,689.4,689.4,689.4,86.0,86.0,86.0,86.0,157.0,157.0,157.0,157.0,2.4,1.0,1.5,183.8,74.4,109.4,187.3,75.8,111.5
Maldives,1,1,24.2,32.0,2007.0,2007.0,2007.0,2007.0,2516.2,2516.2,2516.2,2516.2,211.0,211.0,211.0,211.0,170.0,170.0,170.0,170.0,6.8,6.0,0.8,523.3,459.9,63.5,533.4,468.7,64.7
Sweden,1,1,7.0,12.0,2005.0,2005.0,2005.0,2005.0,167.0,167.0,167.0,167.0,16.0,16.0,16.0,16.0,10.0,10.0,10.0,10.0,0.7,0.6,0.1,51.8,45.0,6.8,52.8,45.8,6.9
Congo,1,1,3177.3,6255.3,2008.0,2008.0,2008.0,2008.0,19582.7,19582.7,19582.7,19582.7,1840.0,1840.0,1840.0,1840.0,40.0,40.0,40.0,40.0,187.5,182.9,4.6,14513.0,14155.8,357.2,14791.6,14427.6,364.0
Virgin Islands (U.S.),1,1,378.1,660.8,2007.0,2007.0,2007.0,2007.0,8633.1,8633.1,8633.1,8633.1,833.0,833.0,833.0,833.0,63.0,63.0,63.0,63.0,40.6,37.5,3.1,3140.1,2907.0,233.1,3200.4,2962.8,237.6
Guinea,1,1,179.2,340.7,2006.0,2006.0,2006.0,2006.0,4521.0,4521.0,4521.0,4521.0,385.0,385.0,385.0,385.0,41.0,41.0,41.0,41.0,11.5,11.3,0.2,891.8,874.4,17.4,908.9,891.2,17.7
Puerto Rico,1,1,205.5,346.6,2018.0,2018.0,2018.0,2018.0,6974.2,6974.2,6974.2,6974.2,888.0,888.0,888.0,888.0,437.0,437.0,437.0,437.0,29.7,20.8,8.9,2279.3,1613.0,666.4,2323.1,1644.0,679.1
