Domestic by Arr. Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Szczecin,352,197,329.7,460.7,1997.4,1999.5,2004.7,2005.6,99.5,159.9,176.7,173.7,14.5,37.7,47.5,46.2,40.5,174.4,133.2,112.7,292.5,92.7,199.8,21977.1,6975.3,15001.8,22399.0,7109.2,15289.8
Gdansk,228,112,191.8,271.0,1990.3,1995.3,2000.1,2001.0,231.0,396.1,352.6,355.4,35.0,175.1,586.6,571.3,29.5,87.8,128.2,127.1,205.2,149.2,56.0,15406.1,11200.0,4206.1,15701.9,11415.0,4286.8
Gdynia,185,112,139.1,200.5,1997.6,1996.1,2005.0,2006.0,221.4,285.0,180.6,181.7,26.0,107.6,74.5,67.4,33.0,155.5,130.7,130.6,146.5,68.9,77.6,11001.8,5173.6,5828.2,11213.0,5273.0,5940.1
Swinoujscie,172,83,382.0,629.5,1996.6,1998.1,2005.2,2006.4,264.1,453.9,557.9,597.5,30.0,143.4,104.8,57.4,22.0,59.7,182.4,195.6,124.6,84.1,40.5,9358.7,6315.6,3043.1,9538.4,6436.9,3101.5
Nowy Port,136,60,106.2,114.7,1991.0,1990.9,1999.7,2003.5,265.6,554.6,476.8,574.7,112.0,360.8,299.3,268.2,47.0,194.6,247.2,291.3,145.4,95.1,50.3,10920.4,7142.1,3778.3,11130.1,7279.2,3850.9
Wladyslawowo,72,30,18.3,14.1,1982.2,1981.6,1987.4,1986.1,279.7,1581.3,576.3,440.0,47.5,421.7,1715.8,1429.0,27.0,110.2,301.7,250.9,75.0,52.8,22.1,5629.8,3967.5,1662.3,5737.9,4043.7,1694.2
Kolobrzeg,49,19,12.6,7.7,1985.1,1985.5,1982.7,1982.0,161.1,660.4,208.3,218.2,25.0,162.2,118.8,207.3,16.0,61.8,56.2,62.4,17.7,11.7,6.0,1331.3,881.2,450.1,1356.8,898.1,458.7
Krynica Morska,38,13,9.1,5.1,1984.0,1986.0,1982.8,1978.6,269.0,1721.4,600.8,829.5,128.0,838.0,1872.1,2177.4,32.0,160.5,482.4,623.2,63.4,50.6,12.8,4763.0,3801.6,961.4,4854.5,3874.6,979.9
Leba,31,23,15.8,14.9,1990.8,1993.2,2004.6,2003.1,163.6,270.7,127.1,115.3,31.0,147.5,189.2,89.3,9.0,10.8,6.2,5.9,12.2,10.7,1.5,915.4,806.0,109.5,933.0,821.4,111.6
Darlowo,28,25,8.2,9.4,1987.4,1987.6,1989.1,1988.5,143.7,298.9,201.9,186.7,18.0,157.0,435.1,680.6,16.0,40.0,22.9,20.3,12.8,10.4,2.4,964.2,784.4,179.8,982.7,799.4,183.3
Trzebiez,27,18,12.4,16.1,1986.1,1986.4,1982.3,1980.6,227.8,459.2,413.9,471.6,16.0,280.9,200.7,70.0,13.0,50.3,292.9,349.2,24.4,12.5,11.9,1832.8,938.5,894.4,1868.0,956.5,911.5
Karsibor,25,11,12.2,16.5,1980.9,1987.3,1985.9,1985.9,227.0,443.6,324.1,313.9,30.0,54.6,62.9,67.3,21.0,46.9,90.2,83.6,14.2,10.0,4.2,1064.5,747.3,317.2,1084.9,761.6,323.3
Skolwin,25,23,19.8,20.2,1995.5,1994.8,1999.6,2000.1,234.0,370.4,280.0,222.8,37.0,219.1,610.5,174.4,26.0,39.2,29.0,28.8,18.6,16.9,1.7,1395.1,1268.5,126.7,1421.9,1292.8,129.1
Ustka,23,15,11.2,8.8,1985.1,1985.9,1989.7,1984.8,530.4,619.4,288.6,332.2,73.0,479.1,395.8,246.6,14.0,107.6,632.1,422.2,37.9,19.4,18.5,2846.2,1455.7,1390.4,2900.8,1483.7,1417.1
Gorki Zachodnie,21,12,2.6,1.6,1979.0,1981.2,1983.8,1981.0,218.4,294.7,316.2,291.2,55.0,97.7,434.6,273.8,11.0,36.2,32.5,57.0,9.1,7.2,2.0,684.1,537.2,146.8,697.2,547.6,149.7
Police,20,16,20.5,31.5,1991.2,1993.8,2003.0,2003.5,243.5,234.0,245.5,250.1,31.5,104.9,55.5,44.1,27.5,41.0,91.3,94.7,9.3,8.2,1.0,695.3,618.1,77.1,708.6,630.0,78.6
Dziwnow,20,17,10.6,12.3,1989.8,1990.1,1987.3,1988.0,222.2,350.5,333.3,313.6,16.5,208.2,183.9,147.7,14.0,71.6,81.2,79.8,9.0,5.9,3.1,678.9,445.9,233.0,692.0,454.5,237.5
Niechorze,12,10,3.7,4.0,1989.9,1989.9,1989.0,1986.4,161.2,293.8,260.3,220.2,25.0,142.6,103.0,102.3,7.0,17.7,31.4,31.4,4.9,4.3,0.7,368.9,319.7,49.2,376.0,325.8,50.2
Mrzezyno,12,10,4.3,3.5,1983.8,1982.2,1988.9,1985.4,178.9,1124.1,451.8,381.9,26.5,319.1,1272.8,957.5,9.0,16.6,15.3,11.9,7.2,6.6,0.6,538.9,492.2,46.7,549.3,501.7,47.6
Stepnica,11,5,3.0,2.5,1976.3,1986.2,1977.9,1979.2,308.2,408.6,344.6,241.7,36.0,109.8,128.8,96.9,97.0,91.7,634.0,190.2,16.0,5.6,10.4,1200.2,421.9,778.3,1223.3,430.0,793.2
Ustronie Morskie,9,8,3.6,2.0,1990.0,1989.6,1990.4,1998.3,350.7,1931.8,593.7,411.4,108.0,493.2,1212.1,760.4,7.0,10.3,10.1,15.1,8.3,7.9,0.4,621.1,591.7,29.5,633.1,603.0,30.0
Miedzyzdroje,8,7,7.0,2.5,1994.2,1996.1,1986.3,1993.3,255.6,881.5,414.4,129.5,50.0,145.1,587.5,316.6,7.5,16.7,13.7,18.4,7.2,6.7,0.5,539.2,503.0,36.2,549.6,512.7,36.9
Rewal,7,7,7.7,3.4,1984.6,1984.6,1992.0,1985.3,233.9,436.8,250.2,241.9,33.0,71.3,57.3,43.6,12.0,22.4,13.6,11.4,3.3,2.8,0.4,245.9,213.9,32.0,250.6,218.0,32.6
Nowe Warpno,6,2,0.9,1.2,1975.0,1975.0,1975.0,1975.0,106.5,239.5,104.5,97.7,39.5,411.8,212.1,126.8,1.5,4.8,2.6,1.7,2.3,2.3,0.0,173.9,171.5,2.4,177.2,174.8,2.4
Znin,4,4,84.4,123.8,2005.0,2005.0,2008.5,2007.4,468.8,763.3,355.4,408.2,35.0,43.8,39.0,38.4,7.5,12.0,10.7,10.0,9.6,7.6,2.1,744.4,584.2,160.2,758.7,595.4,163.3
Elblag,2,1,0.1,0.1,1967.0,1967.0,1967.0,1967.0,107.0,107.0,107.0,107.0,32.5,32.5,32.9,32.9,46.5,46.5,47.6,47.6,0.1,0.0,0.0,4.6,3.0,1.6,4.7,3.0,1.6
Kamien Pomorski,2,2,0.6,0.7,1986.5,1986.5,1986.7,1986.8,159.5,159.5,149.8,148.5,14.0,14.0,13.9,13.8,6.5,6.5,6.4,6.3,0.2,0.1,0.1,13.0,8.8,4.2,13.2,8.9,4.3
Mierzyn,1,1,0.0,0.0,1968.0,1968.0,1968.0,1968.0,223.9,223.9,223.9,223.9,32.0,32.0,32.0,32.0,4.0,4.0,4.0,4.0,0.2,0.2,0.0,13.5,11.8,1.8,13.8,12.0,1.8
Duczki,1,1,0.1,0.1,1997.0,1997.0,1997.0,1997.0,406.3,406.3,406.3,406.3,38.0,38.0,38.0,38.0,8.0,8.0,8.0,8.0,0.6,0.5,0.1,41.6,34.4,7.2,42.4,35.0,7.4
