Int. Arr. by Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Gdynia,3591,949,33238.6,36543.5,1999.1,2002.4,2003.7,2007.0,364.9,807.4,541.9,844.1,31.0,91.0,177.9,262.5,16.0,109.0,85.3,124.6,6753.2,5453.6,1299.6,507978.1,410394.9,97583.2,517731.3,418274.5,99456.8
Swinoujscie,2971,441,26043.0,26512.4,1993.5,2001.3,2002.9,2008.3,124.4,1069.1,429.0,979.0,9.0,129.8,281.7,390.0,4.0,74.6,63.8,100.8,4272.4,3562.0,710.4,322036.6,268693.7,53342.9,328219.7,273852.6,54367.1
Gdansk,2046,942,55612.9,79618.3,2003.4,2003.0,2011.8,2011.5,538.3,974.7,1158.1,1295.0,54.5,114.4,306.6,372.7,28.0,102.2,84.9,79.2,7182.3,5415.9,1766.4,542143.5,409515.1,132628.4,552552.6,417377.8,135174.9
Szczecin,1470,739,4334.5,6208.4,1999.0,2000.5,2005.3,2005.8,555.4,658.0,714.2,734.4,60.0,84.6,135.0,137.9,41.0,103.3,116.0,117.1,1416.1,1047.7,368.3,106501.7,78846.6,27655.1,108546.6,80360.5,28186.1
Nowy Port,635,253,4931.4,3395.1,1994.8,1997.8,1999.8,2003.4,289.1,738.2,520.7,948.3,24.0,83.5,257.6,309.7,9.0,76.5,184.6,139.5,1278.1,996.2,281.8,96176.6,75015.9,21160.7,98023.2,76456.2,21567.0
Skolwin,384,255,947.3,1157.9,1996.1,1998.1,2000.3,2001.4,446.6,584.6,663.6,563.1,55.5,74.0,204.2,115.1,33.0,46.3,111.1,64.5,299.6,253.7,45.9,22522.8,19078.5,3444.3,22955.3,19444.8,3510.4
Kolobrzeg,270,52,111.8,108.1,1984.2,1988.1,1988.2,1989.4,390.8,862.1,581.5,502.0,36.0,106.4,154.8,96.8,33.5,72.5,244.9,125.3,177.7,85.2,92.5,13341.5,6397.1,6944.4,13597.6,6519.9,7077.7
Police,197,103,1726.7,2669.5,1994.0,1997.9,2005.3,2005.6,577.9,895.4,1586.3,1671.3,67.0,108.7,277.3,284.4,47.0,64.2,97.9,99.5,245.7,221.9,23.8,18609.1,16824.8,1784.2,18966.3,17147.9,1818.5
Wladyslawowo,142,53,151.3,175.8,1986.6,1990.5,1993.1,2000.1,560.8,928.6,877.0,738.9,88.0,173.6,283.0,188.0,32.5,184.3,113.8,91.5,148.4,100.4,48.1,11145.2,7536.3,3608.9,11359.2,7681.0,3678.2
Darlowo,74,35,44.4,64.7,1987.6,1990.1,1992.9,1993.0,291.3,390.8,330.8,326.4,31.0,41.1,41.3,41.0,24.0,38.4,30.6,29.5,17.9,12.0,6.0,1346.1,899.1,447.0,1372.0,916.4,455.6
