Int. Arr. by Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Limassol,1616,457,32249.8,35619.0,1999.5,2001.1,2004.5,2004.9,500.3,1111.1,1149.0,1261.5,40.0,189.1,280.4,287.8,12.0,62.9,28.4,29.9,6690.1,6201.8,488.3,511879.5,474811.5,37068.1,521707.6,483927.8,37779.8
Famagusta,932,133,1567.1,2000.9,1982.5,1989.0,1992.6,1994.6,169.2,928.8,439.8,564.0,19.0,164.3,202.7,241.1,22.0,92.8,57.4,64.5,539.2,389.0,150.2,41104.9,29732.4,11372.5,41894.2,30303.3,11590.9
Larnaca,662,255,5385.5,4563.9,2000.0,1999.4,2007.1,2004.1,569.0,969.3,891.9,773.4,55.0,112.4,229.1,190.5,28.0,73.5,92.7,90.5,973.6,728.8,244.8,74300.8,55799.4,18501.4,75727.4,56870.8,18856.6
Vassiliko,573,319,10605.4,17705.1,1999.8,2003.4,2007.9,2008.2,587.1,1051.9,1162.7,1171.3,71.0,116.0,222.5,223.4,29.0,47.2,62.2,60.1,1645.9,1308.3,337.6,126762.4,100844.6,25917.8,129196.3,102780.8,26415.4
Kyrenia,216,35,667.5,676.3,1982.5,1991.6,1992.6,1998.8,211.1,856.2,457.2,627.3,12.0,95.0,100.6,114.0,15.0,44.4,41.3,36.0,218.4,147.6,70.8,16681.4,11316.2,5365.3,17001.7,11533.4,5468.3
Ayia Napa,66,59,1330.7,2108.5,1995.3,1994.8,2001.0,2001.4,858.6,1352.6,1341.3,1435.7,96.5,179.6,290.1,290.0,17.0,30.4,32.9,34.4,170.6,151.7,18.9,13137.3,11684.2,1453.2,13389.6,11908.5,1481.1
Akrotiri,40,35,796.4,1308.1,1992.2,1993.2,1997.7,1997.8,898.9,1383.0,1389.5,1393.7,68.0,101.2,116.6,114.6,17.0,90.9,224.8,232.4,111.7,62.6,49.1,8605.1,4815.1,3790.0,8770.3,4907.5,3862.8
Paphos,22,20,302.0,496.3,1992.7,1992.5,1999.5,2000.0,503.3,696.2,1252.3,1323.0,77.5,124.6,145.6,144.9,9.5,17.8,54.9,54.6,42.2,31.7,10.5,3247.4,2436.3,811.1,3309.7,2483.1,826.6
Latchi,21,18,314.6,497.5,1993.5,1996.1,1999.2,1999.3,530.7,1715.1,780.2,730.2,57.0,159.6,278.6,192.5,29.0,33.0,53.0,44.1,67.4,62.4,5.0,5117.6,4736.3,381.3,5215.9,4827.2,388.7
Dhekelia,18,18,703.8,1122.9,2003.1,2003.1,2008.2,2008.2,1902.6,1867.7,2164.5,2181.8,151.5,164.6,198.4,198.4,58.0,74.2,65.6,66.0,122.1,100.1,22.0,9431.1,7729.7,1701.4,9612.2,7878.2,1734.1
Liopetri,7,7,79.4,127.1,1992.4,1992.4,2000.4,2000.5,1625.8,1115.7,549.5,510.4,126.0,144.9,144.5,144.9,21.0,27.1,18.4,19.4,16.0,14.2,1.9,1239.6,1093.0,146.6,1263.4,1114.0,149.4
Xeros,5,5,75.8,83.5,1987.6,1987.6,1995.4,1992.7,1761.8,2195.4,2852.9,2719.4,357.0,516.8,548.3,458.4,27.0,35.8,55.2,59.5,15.8,13.4,2.4,1209.7,1026.9,182.7,1232.9,1046.6,186.2
Karavostasi,3,3,31.0,50.7,1985.0,1985.0,1984.0,1984.0,515.1,845.6,1564.5,1610.8,72.0,73.0,108.4,108.8,35.0,30.3,34.5,34.6,7.8,5.9,1.8,599.9,458.8,141.1,611.5,467.7,143.8
Aradhippou,3,3,51.8,80.5,1982.0,1982.0,1984.6,1984.6,1661.9,1497.7,2046.4,2065.8,146.0,159.7,152.1,152.6,8.0,16.7,34.3,34.1,8.4,6.9,1.5,644.0,530.7,113.3,656.4,540.9,115.5
Psimolofou,2,2,60.8,99.9,1989.5,1989.5,1994.8,1994.9,2084.0,2084.0,2627.9,2681.5,162.5,162.5,216.4,217.8,43.0,43.0,59.2,59.6,6.4,5.1,1.4,495.6,390.9,104.7,505.1,398.4,106.7
Nicosia,2,2,10.5,14.0,1994.0,1994.0,1993.4,1993.7,1224.0,1224.0,1071.8,996.0,107.0,107.0,122.7,116.1,5.0,5.0,5.3,5.2,3.3,3.2,0.1,253.4,242.2,11.2,258.3,246.9,11.4
