Int. Arr. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Ferry-RoPax,20,2,97.7,9.7,2005.1,1997.0,2005.5,2005.5,84.8,81.5,101.4,101.4,6.0,6.0,9.0,9.0,0.0,0.0,0.0,0.0,14.3,14.3,0.0,1072.4,1072.4,0.0,1093.0,1093.0,0.0
Service - other,1,1,0.0,0.0,1979.0,1979.0,1979.0,1979.0,52.7,52.7,52.7,52.7,7.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,4.3,4.3,0.0,4.4,4.4,0.0
Miscellaneous - fishing,1,1,0.2,0.1,1980.0,1980.0,1980.0,1980.0,566.8,566.8,566.8,566.8,66.0,66.0,66.0,66.0,21.0,21.0,21.0,21.0,0.4,0.4,0.0,32.2,29.4,2.8,32.8,30.0,2.9
Offshore,1,1,87.1,88.4,2009.0,2009.0,2009.0,2009.0,1444.0,1444.0,1444.0,1444.0,2133.0,2133.0,2133.0,2133.0,2119.0,2119.0,2119.0,2119.0,25.1,19.8,5.4,1919.7,1517.5,402.2,1956.5,1546.6,409.9
