Domestic by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Service - tug,578,18,172.7,178.4,2003.9,2005.2,2003.9,2004.0,87.2,660.9,161.9,165.2,26.0,467.6,277.1,275.9,8.0,175.6,59.3,57.1,112.8,94.9,17.8,8486.0,7141.6,1344.4,8649.0,7278.7,1370.3
Ferry-RoPax,133,2,49.6,14.1,1986.6,1983.5,1985.6,1983.1,149.8,375.7,211.6,261.7,16.0,19.0,38.1,42.3,59.0,77.5,115.1,140.9,83.3,27.3,56.0,6252.4,2048.0,4204.4,6372.4,2087.3,4285.1
Service - other,90,5,82.9,48.9,1994.2,1998.6,1998.4,2004.2,144.2,1639.4,255.1,363.0,20.0,314.5,304.8,357.2,54.0,50.2,118.1,130.9,65.6,44.7,20.9,4927.1,3360.6,1566.5,5021.7,3425.1,1596.6
Ro-Ro,81,8,86.6,54.1,2007.1,2006.0,2006.5,2006.9,143.9,163.0,172.6,171.0,18.0,17.6,19.6,22.9,80.0,42.8,63.3,87.9,173.8,25.4,148.4,13301.9,1954.0,11348.0,13557.3,1991.5,11565.8
General cargo,71,19,104.2,158.9,2001.2,2006.3,1995.4,1993.0,156.4,229.6,232.1,250.4,19.0,27.1,26.1,27.5,32.0,78.1,210.2,213.9,51.6,16.7,34.8,3904.7,1284.8,2619.9,3979.6,1309.5,2670.2
Offshore,49,11,78.8,89.3,2006.1,2003.5,2000.2,1993.0,436.7,2660.9,373.1,263.5,55.0,823.5,1513.6,1700.4,31.0,277.4,505.5,665.8,91.6,69.1,22.5,6875.3,5186.0,1689.3,7007.3,5285.6,1721.7
Container,45,12,219.9,264.1,2005.8,2006.4,2006.9,2006.9,153.8,160.1,160.1,160.2,12.0,13.5,14.1,14.1,36.0,32.2,35.3,35.4,59.3,33.3,26.0,4576.6,2579.1,1997.6,4664.5,2628.6,2035.9
Ferry-pax only,37,3,40.6,13.3,1990.6,1996.3,1979.4,1980.4,443.0,474.5,1453.5,1387.4,20.0,14.7,73.1,71.6,149.0,125.3,545.1,580.0,40.5,9.8,30.7,3040.2,732.9,2307.2,3098.5,747.0,2351.5
Chemical tanker,28,6,37.7,58.0,2006.7,2007.0,2006.7,2006.7,159.8,159.2,162.8,162.9,14.0,15.2,17.0,17.0,33.0,36.1,33.6,33.7,26.1,11.1,14.9,1976.3,854.1,1122.2,2014.2,870.5,1143.7
Liquefied gas tanker,17,4,25.7,30.1,1994.8,2004.0,2004.7,2004.3,162.2,269.0,305.2,296.6,31.0,233.8,221.2,221.2,96.0,65.1,95.6,98.0,120.1,58.8,61.3,9026.9,4424.5,4602.5,9200.3,4509.4,4690.8
Bulk carrier,15,5,45.1,72.8,2008.1,2005.8,2005.4,2005.2,161.4,251.3,218.9,224.1,17.0,32.2,38.3,39.9,265.0,243.2,252.2,248.7,12.0,4.0,8.0,911.6,306.4,605.2,929.1,312.3,616.8
Oil tanker,2,2,13.1,23.7,2002.5,2002.5,2007.7,2007.9,123.4,123.4,137.1,141.6,235.0,235.0,387.4,394.7,226.5,226.5,382.7,390.2,11.4,6.2,5.2,879.6,478.1,401.5,896.5,487.3,409.2
