Int. Arr. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Offshore,189,52,131.8,105.9,2011.0,2008.8,2013.0,2012.1,128.8,771.2,365.0,284.6,35.0,255.6,1143.8,938.5,7.0,67.5,131.6,144.6,119.4,98.1,21.3,8963.9,7365.1,1598.8,9136.0,7506.5,1629.5
General cargo,152,67,2451.1,2972.1,2005.2,2004.6,2000.5,2001.6,567.1,1761.4,1979.2,1822.3,62.0,195.7,529.0,506.0,31.5,101.2,123.4,129.0,458.3,408.6,49.7,35232.8,31503.3,3729.5,35909.3,32108.2,3801.1
Oil tanker,109,89,32561.4,61452.4,2007.9,2008.3,2011.1,2011.1,3524.8,4035.1,4459.3,4501.6,388.0,489.1,604.7,603.0,41.0,45.7,41.8,41.9,2248.3,2121.3,127.0,174011.4,164180.6,9830.9,177352.4,167332.8,10019.6
Liquefied gas tanker,106,51,33445.4,28514.2,2011.4,2011.8,2012.5,2012.6,2379.8,4617.0,5662.1,5343.6,201.5,350.0,517.0,511.9,27.0,33.8,35.3,35.8,3817.6,3722.6,94.9,236959.2,229667.1,7292.2,241508.8,234076.7,7432.2
Bulk carrier,84,63,2629.4,4326.1,2006.5,2006.7,2006.6,2006.4,585.8,1330.2,1418.0,1409.6,74.0,229.3,424.2,426.1,290.0,284.8,187.1,187.3,360.9,296.4,64.5,27851.3,22923.1,4928.2,28386.0,23363.2,5022.8
Chemical tanker,74,29,4208.0,6907.1,2009.3,2008.8,2013.4,2013.5,784.1,2172.4,3513.0,3569.8,153.0,261.5,414.1,418.3,30.5,103.4,58.2,53.5,560.1,484.4,75.7,42327.4,36549.4,5777.9,43140.1,37251.2,5888.9
Container,71,21,1703.9,2093.4,2004.5,2005.5,2004.0,2003.8,658.4,659.9,763.5,766.7,44.0,47.1,93.8,95.3,34.0,51.0,42.6,42.7,319.3,269.9,49.3,24674.9,20863.6,3811.3,25148.7,21264.2,3884.5
Service - tug,70,39,45.6,41.5,2004.4,2004.3,2004.2,2004.4,202.7,610.9,412.3,400.2,74.5,622.5,1436.5,1286.8,20.5,49.1,123.8,120.6,44.3,41.7,2.6,3329.8,3133.4,196.3,3393.7,3193.6,200.1
Service - other,59,14,226.1,136.9,2011.4,2007.3,2001.8,2001.4,286.7,3477.6,3325.2,3474.8,61.0,348.6,162.3,167.9,5.0,266.3,1865.3,1733.6,55.9,42.1,13.8,4254.0,3205.0,1048.9,4335.6,3266.6,1069.1
Ro-Ro,32,17,534.6,280.5,2006.1,2007.4,2007.9,2008.1,581.3,698.8,727.2,715.2,40.0,60.4,108.2,106.3,16.0,31.9,20.1,20.8,84.8,67.0,17.8,6526.1,5178.1,1348.0,6651.4,5277.6,1373.9
Refrigerated bulk,14,10,112.6,124.8,1998.5,1997.5,2005.1,2005.1,817.3,874.3,1096.6,1101.0,52.5,73.4,87.5,87.5,2.5,60.0,21.3,21.1,57.3,48.2,9.1,4374.0,3690.2,683.9,4458.0,3761.0,697.0
Vehicle,4,2,130.1,48.4,2011.2,2011.5,2011.3,2011.3,610.1,610.1,543.7,543.6,49.5,64.0,56.5,56.4,6.0,6.0,4.1,4.1,8.5,8.3,0.2,662.0,646.3,15.7,674.7,658.7,16.0
Miscellaneous - fishing,3,2,2.6,2.5,1988.7,1987.0,1984.8,1983.0,575.7,1143.2,706.8,616.4,53.0,238.0,261.1,127.0,19.0,32.2,38.6,44.6,5.0,4.8,0.2,375.6,362.2,13.4,382.8,369.1,13.7
