Domestic by Arr. Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Goto,19,12,1010.5,1902.4,2003.8,2004.7,2013.0,2013.1,329.9,735.5,913.4,919.8,86.0,149.5,123.7,122.8,75.0,176.9,581.4,577.1,183.6,42.5,141.1,14214.4,3288.4,10926.0,14487.3,3351.5,11135.8
Bonaire,11,8,726.5,1371.7,2006.1,2004.2,2009.0,2008.9,352.1,531.2,966.2,982.1,160.0,170.1,497.3,493.2,36.0,76.3,136.5,139.7,74.9,61.3,13.6,5798.0,4747.4,1050.6,5909.3,4838.6,1070.7
Kralendijk,9,6,7.4,2.7,1995.4,1993.7,2008.0,2005.1,483.4,445.2,142.4,152.4,52.0,259.5,191.0,309.4,46.0,208.7,138.0,240.0,6.6,4.2,2.4,499.8,317.8,182.1,509.4,323.9,185.6
Saba,6,3,17.9,32.8,1985.8,1992.7,2016.4,2016.5,79.3,148.2,276.3,277.9,29.5,72.8,171.8,172.1,6.5,5.5,7.0,7.0,2.8,2.6,0.2,212.9,200.5,12.4,217.0,204.4,12.6
