Int. Dep. by Partner,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Curaçao,250,45,581.5,510.5,2001.2,2003.7,2008.6,2005.9,56.4,244.1,138.5,281.1,8.0,101.7,98.7,179.4,13.5,79.7,21.5,30.1,188.8,105.8,83.0,14498.3,8123.2,6375.1,14776.6,8279.1,6497.5
United States of America,105,85,10717.2,11404.0,2008.7,2008.7,2009.3,2009.6,1634.8,1938.8,1657.0,2036.8,144.0,215.2,205.0,284.7,37.0,69.9,50.1,72.5,1592.0,1417.9,174.1,120560.6,107485.8,13074.7,122875.3,109549.5,13325.8
Sint Maarten (Dutch part),102,18,100.2,14.5,2000.1,1998.3,2005.6,2002.8,73.8,278.0,440.9,165.7,47.0,230.0,101.6,277.0,10.0,25.8,9.6,20.3,44.9,38.6,6.3,3395.4,2915.5,479.9,3460.6,2971.4,489.1
Venezuela (Bolivarian Republic of),100,78,3801.0,6942.1,2007.6,2008.5,2009.0,2009.2,546.2,651.6,726.7,766.0,70.0,136.8,444.8,451.1,109.0,165.2,357.7,371.0,1612.8,504.3,1108.5,124861.2,38999.4,85861.8,127258.5,39748.2,87510.3
Aruba,84,30,1065.1,232.0,1997.0,2000.6,2000.3,2000.8,130.4,198.6,160.4,273.8,14.0,29.4,25.4,106.2,8.0,25.0,14.7,53.0,238.5,151.8,86.7,18472.2,11757.5,6714.8,18826.9,11983.2,6843.7
Dominican Republic,82,28,504.4,695.2,2007.4,2007.5,2007.2,2009.0,503.6,532.1,613.9,620.4,42.5,74.8,83.4,95.7,33.5,43.0,40.3,43.9,158.6,109.3,49.3,12183.3,8418.4,3765.0,12417.3,8580.0,3837.3
Trinidad and Tobago,49,34,736.0,924.0,1999.8,2002.5,2009.8,2011.2,471.4,518.4,548.7,550.0,56.0,105.7,120.0,127.7,33.0,89.7,106.9,89.4,170.8,94.4,76.4,12941.2,7053.0,5888.2,13189.7,7188.4,6001.3
Virgin Islands (British),24,9,3.5,4.8,1981.6,1986.8,1987.4,1987.5,132.1,133.2,138.1,134.6,18.0,21.6,21.5,19.0,19.5,16.9,23.2,22.9,7.0,5.0,2.0,525.0,376.1,148.9,535.1,383.4,151.7
Anguilla,23,7,1.7,2.5,1981.7,1984.9,1986.8,1986.8,80.1,63.5,79.0,80.3,15.0,20.9,39.6,40.6,33.0,21.4,42.4,43.5,7.4,4.1,3.3,558.5,310.8,247.6,569.2,316.8,252.4
Canada,22,16,1731.1,3036.9,2011.8,2011.4,2012.6,2012.6,2429.1,2441.2,2428.4,2427.1,246.0,256.1,249.0,248.5,91.0,99.5,98.9,98.4,175.3,163.4,11.8,13411.7,12501.2,910.5,13669.2,12741.3,928.0
Saint Kitts and Nevis,22,8,37.0,68.4,1987.5,1999.0,2012.2,2012.2,68.6,171.9,286.2,285.6,22.5,73.8,80.6,82.5,8.0,21.9,4.9,4.4,6.4,5.4,1.0,486.4,413.7,72.7,495.7,421.6,74.1
Puerto Rico,20,18,287.5,461.9,2006.6,2006.7,2007.4,2007.9,220.7,334.8,354.5,335.6,20.0,41.5,42.6,39.0,48.0,40.1,44.7,46.8,56.2,27.9,28.3,4162.2,2035.0,2127.2,4242.1,2074.1,2168.0
Montserrat,19,5,1.0,0.9,1974.8,1975.0,1975.4,1978.2,63.2,74.0,69.9,73.7,11.0,15.2,14.0,15.5,1.0,1.2,2.2,2.9,1.5,1.4,0.1,110.5,101.5,9.0,112.7,103.5,9.2
Jamaica,18,16,508.3,708.1,2005.4,2005.1,2005.4,2006.7,863.5,887.9,935.9,1017.7,71.5,94.8,110.1,127.0,58.5,86.3,116.6,140.7,115.7,80.3,35.5,8959.2,6215.3,2743.9,9131.3,6334.6,2796.6
Colombia,18,16,893.8,1659.9,2005.3,2006.1,2012.3,2012.9,485.7,715.5,950.4,970.5,59.0,96.5,150.0,151.6,61.5,59.2,62.3,63.5,67.1,56.6,10.5,5188.2,4381.2,807.0,5287.8,4465.3,822.5
Brazil,17,17,1442.0,2387.2,2010.8,2010.8,2011.2,2011.3,2704.2,2831.1,2738.3,2682.5,303.0,315.1,339.1,331.2,59.0,53.2,50.9,49.6,161.9,152.0,9.9,12527.6,11765.3,762.3,12768.1,11991.2,776.9
