Int. Arr. by Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Dublin,4192,485,24381.0,15242.9,2004.1,2004.9,2006.7,2007.3,133.1,577.2,365.1,428.8,12.0,63.8,85.3,110.4,11.0,37.7,27.5,37.0,5701.7,4678.2,1023.5,435505.5,357638.9,77866.6,443867.2,364505.6,79361.6
Rosslare,388,32,4333.0,830.5,1997.8,1998.7,1993.2,1997.1,307.0,644.0,409.4,359.9,19.0,56.6,264.4,165.4,6.0,19.4,248.0,148.2,883.6,595.6,287.9,67256.1,45309.2,21946.9,68547.4,46179.1,22368.3
Ringaskiddy Deepwater Terminal,371,207,13359.6,15753.8,2005.6,2005.5,2010.1,2010.8,606.0,1449.8,1566.2,2466.0,68.0,153.3,240.6,276.0,14.0,35.3,21.4,25.6,1945.0,1852.4,92.6,150012.7,142923.1,7089.6,152892.9,145667.2,7225.8
Ford'S Wharf (Topaz Energy Terminal),285,150,909.9,1102.7,2003.9,2003.0,2007.5,2007.1,589.6,729.7,602.3,616.4,59.0,85.3,84.8,87.8,24.0,48.1,39.2,39.9,325.7,281.1,44.6,24619.2,21266.8,3352.4,25091.9,21675.1,3416.8
Tom Roes Point Terminal/Drogheda,262,184,672.8,1003.3,2003.5,2003.4,2004.1,2004.2,745.6,983.2,938.1,937.8,80.0,126.6,160.3,159.2,35.5,40.8,48.9,49.7,207.2,171.6,35.7,15719.8,13014.3,2705.5,16021.6,13264.2,2757.5
Castletown Bearhaven,238,89,235.9,187.9,1997.3,1996.0,1999.5,2000.8,1941.9,2262.5,1977.8,1632.7,261.0,392.0,717.2,577.6,23.0,145.5,227.4,195.4,376.5,278.5,98.1,28274.0,20910.8,7363.2,28816.9,21312.3,7504.6
Cork,192,143,5099.6,8908.8,2005.6,2005.7,2008.2,2008.2,570.4,982.1,1443.7,1499.7,67.5,119.5,299.2,305.1,31.5,39.0,58.3,58.5,717.2,528.0,189.1,55055.1,40519.7,14535.4,56112.2,41297.7,14814.5
Waterford Great Island (Esb),168,146,611.0,861.8,2005.9,2005.8,2008.0,2008.1,594.5,796.1,920.2,980.8,70.5,89.0,152.9,154.1,32.0,36.1,42.1,43.5,160.6,145.8,14.8,12193.8,11076.5,1117.3,12427.9,11289.1,1138.8
Killybegs,165,104,561.7,395.4,1998.4,1999.4,2003.4,2003.8,993.0,2094.5,832.7,1286.2,86.0,320.2,492.3,634.7,49.0,303.5,241.1,342.5,354.9,239.2,115.7,26802.3,18097.8,8704.5,27316.9,18445.3,8871.6
Greenore,151,123,1140.9,1623.9,2002.7,2003.0,2004.9,2005.7,1034.2,1262.1,1364.7,1387.5,131.0,147.0,251.6,253.0,28.0,39.9,52.3,53.5,248.7,230.0,18.7,18953.1,17541.2,1411.9,19317.0,17878.0,1439.1
