Int. Dep. by Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Dublin,4129,543,31030.3,17379.8,2004.0,2005.2,2005.8,2007.1,130.5,661.7,455.0,490.4,12.0,70.9,865.1,404.2,8.0,38.5,35.7,34.1,6840.7,5800.8,1039.9,523192.4,444146.3,79046.1,533237.7,452673.9,80563.8
Rosslare,389,37,5226.5,1112.0,1997.8,1999.5,1994.0,1998.2,311.7,807.4,494.5,479.7,19.0,79.0,239.9,162.9,3.0,52.1,121.9,74.7,1051.3,886.7,164.6,80146.9,67636.2,12510.7,81685.7,68934.8,12750.9
Ford'S Wharf (Topaz Energy Terminal),373,146,1292.9,1543.1,2004.9,2002.8,2007.2,2007.2,584.2,543.4,562.8,558.3,42.0,56.0,59.8,56.6,24.0,33.7,30.6,30.6,479.6,415.7,64.0,36291.9,31491.9,4800.0,36988.7,32096.6,4892.1
Ringaskiddy Deepwater Terminal,337,165,5007.5,3281.6,2005.0,2004.2,2005.1,2007.6,554.1,586.7,627.7,631.5,40.0,62.1,63.0,70.0,20.0,45.5,29.0,37.2,745.6,647.5,98.1,56882.7,49417.6,7465.1,57974.8,50366.4,7608.4
Tom Roes Point Terminal/Drogheda,259,184,395.1,595.7,2002.9,2003.1,2004.1,2004.2,621.6,568.7,561.4,561.4,62.0,65.1,90.1,88.7,33.0,38.5,45.9,45.1,133.2,113.6,19.6,10075.2,8598.1,1477.1,10268.6,8763.2,1505.5
Castletown Bearhaven,222,83,193.0,128.6,1997.8,1996.5,1998.3,1999.0,1869.9,2513.2,1935.7,1446.0,343.5,469.7,692.5,592.4,123.5,216.4,380.3,363.2,408.1,286.8,121.3,30640.6,21531.4,9109.2,31228.9,21944.8,9284.1
Waterford Great Island (Esb),193,134,524.4,679.3,2006.3,2005.3,2008.3,2008.4,563.6,563.6,549.1,585.1,46.0,65.0,77.1,84.5,35.0,41.4,41.8,44.8,168.8,145.8,23.1,12791.9,11054.9,1737.0,13037.5,11267.2,1770.4
Cork,181,129,4280.6,7327.4,2005.5,2005.2,2008.3,2008.5,604.9,949.2,1256.9,1279.2,68.0,109.3,217.1,218.6,28.0,42.9,49.6,48.9,581.8,443.6,138.2,44362.6,33926.5,10436.1,45214.4,34577.9,10636.5
Killybegs,167,101,577.0,426.6,1998.6,1999.6,1998.5,1999.7,951.1,1881.7,835.9,1417.3,116.0,398.1,626.5,666.8,23.0,222.8,573.4,723.8,350.4,265.8,84.6,26446.9,20077.8,6369.1,26954.7,20463.3,6491.4
Greenore,153,128,889.8,1202.5,2003.1,2003.5,2005.3,2006.9,471.4,771.3,867.3,820.5,57.0,90.8,150.5,134.7,23.0,52.7,109.4,109.8,189.3,162.7,26.6,14355.6,12353.8,2001.8,14631.2,12591.0,2040.2
