Domestic by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Miscellaneous - fishing,643,82,260.1,179.0,1996.4,1996.6,1999.3,1998.9,343.0,1184.5,591.4,430.1,45.0,335.2,504.7,461.0,25.0,129.2,286.8,257.3,474.1,290.0,184.1,35601.7,21778.9,13822.9,36285.3,22197.0,14088.3
General cargo,432,253,505.2,765.1,2003.1,2004.2,2007.2,2007.3,207.1,293.4,328.8,331.2,21.0,33.3,63.2,63.9,26.0,38.1,57.7,58.4,146.2,93.2,52.9,11106.0,7104.8,4001.2,11319.2,7241.2,4078.0
Service - other,320,22,353.8,171.4,1999.3,2002.2,2003.4,2002.9,337.3,421.9,694.7,597.3,41.0,180.2,279.7,217.5,20.0,22.9,187.8,170.0,255.5,172.6,82.9,19185.4,12959.9,6225.5,19553.7,13208.7,6345.0
Container,267,17,329.6,404.3,2005.4,2003.0,2006.2,2006.2,169.9,161.8,166.0,166.2,13.0,17.4,14.4,14.4,10.0,13.0,12.4,12.6,128.2,97.6,30.6,9839.9,7521.1,2318.8,10028.8,7665.5,2363.3
Oil tanker,183,8,216.9,330.9,1997.5,2004.0,1999.0,1999.3,285.4,244.4,276.0,272.2,28.0,31.1,35.8,36.4,14.0,22.6,23.5,24.0,92.9,56.1,36.8,7101.9,4304.3,2797.6,7238.2,4386.9,2851.3
Service - tug,150,12,33.6,24.3,1996.0,1990.8,1996.7,1996.4,210.0,575.8,622.9,579.2,54.5,189.0,580.7,622.6,28.5,233.7,1069.9,1149.0,83.1,59.8,23.3,6238.9,4491.3,1747.5,6358.7,4577.6,1781.1
Chemical tanker,143,35,177.6,291.3,2004.3,2005.1,2006.0,2005.9,177.8,232.5,225.6,223.0,23.0,27.4,37.3,37.0,17.0,31.7,36.5,36.7,108.7,60.1,48.6,8273.3,4589.3,3684.0,8432.2,4677.4,3754.8
Cruise,98,40,1184.7,116.4,1995.9,1995.6,2004.6,2002.2,183.0,188.5,204.8,206.8,14.0,14.8,17.5,17.9,10.0,21.8,13.1,12.8,307.4,205.9,101.5,23767.4,15945.0,7822.3,24223.7,16251.2,7972.5
Bulk carrier,84,70,825.2,1450.6,2009.3,2009.3,2010.0,2010.1,218.9,302.6,326.8,329.4,33.0,40.9,66.7,68.6,54.0,62.3,59.1,59.4,82.5,56.8,25.7,6376.6,4390.5,1986.1,6499.0,4474.7,2024.3
Ferry-RoPax,20,6,405.4,94.6,1984.1,1988.2,2002.6,2003.0,599.0,1150.4,1131.7,1173.8,27.0,183.2,158.3,177.5,25.0,57.8,20.6,25.1,104.3,84.1,20.3,7961.4,6418.6,1542.7,8114.2,6541.9,1572.3
Liquefied gas tanker,19,10,68.2,75.7,2012.6,2011.0,2014.5,2014.6,215.0,232.5,241.3,241.9,23.0,33.4,74.2,76.1,21.0,38.9,23.6,23.0,20.9,11.1,9.8,1586.4,843.3,743.2,1616.9,859.5,757.4
Ferry-pax only,16,3,30.2,3.4,1988.9,1992.0,1996.7,1995.0,2639.9,7518.5,5668.7,5111.4,81.0,293.8,1369.5,1201.0,125.0,163.5,432.3,397.8,15.9,10.2,5.7,1195.5,767.3,428.2,1218.4,782.0,436.4
Offshore,6,4,3.3,2.8,2013.2,2013.0,2012.5,2012.5,132.7,156.9,169.8,173.2,35.0,50.4,66.6,67.1,7.5,10.0,12.8,12.9,2.6,2.4,0.1,192.5,181.9,10.5,196.1,185.4,10.7
Vehicle,5,4,154.4,47.2,2011.8,2011.8,2014.6,2014.5,93.6,612.3,563.6,568.1,18.0,91.0,280.7,280.1,19.0,35.1,80.4,80.2,6.5,4.3,2.2,502.2,332.5,169.7,511.9,338.9,172.9
Ro-Ro,2,2,5.9,4.1,2001.0,2001.0,2000.1,1999.8,301.4,301.4,206.6,228.2,28.5,28.5,33.2,35.1,29.5,29.5,22.2,19.3,2.9,1.9,1.0,223.6,148.2,75.4,227.9,151.1,76.8
