Domestic by Arr. Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Dublin,233,143,1049.8,541.2,2004.0,2005.1,2008.6,2008.1,175.4,226.3,228.3,217.8,20.0,31.8,33.7,46.0,19.0,48.6,31.9,58.3,275.9,172.5,103.3,21191.9,13289.2,7902.6,21598.7,13544.4,8054.3
Cork,180,39,230.6,281.2,2000.6,2003.5,2002.1,2001.6,227.4,409.6,312.0,251.6,27.0,103.7,192.5,82.6,20.5,45.6,59.9,45.8,153.2,92.4,60.8,11596.8,7007.7,4589.1,11819.5,7142.3,4677.2
Ford'S Wharf (Topaz Energy Terminal),158,34,175.9,219.0,2004.8,2004.0,2005.5,2005.7,171.5,213.6,170.0,170.5,14.5,28.1,18.3,16.6,12.0,30.9,16.3,16.7,72.8,57.9,14.9,5567.3,4451.6,1115.8,5674.2,4537.0,1137.2
Cobh,140,39,328.1,66.0,1998.7,1999.5,2001.6,2001.3,276.3,526.9,262.5,366.6,37.5,69.7,78.6,129.8,28.5,132.0,215.3,566.6,155.8,96.7,59.2,11840.8,7366.3,4474.5,12068.2,7507.8,4560.4
Killybegs,134,50,121.5,47.9,1995.6,2000.2,1998.5,1997.8,284.5,629.2,358.2,329.3,35.5,97.2,50.9,62.8,40.5,293.0,192.1,375.6,106.0,49.3,56.7,7997.4,3737.3,4260.2,8151.0,3809.0,4341.9
Galway,124,49,190.3,163.7,1999.8,2001.0,1999.1,2000.8,334.5,425.5,388.0,363.4,27.0,83.8,100.5,73.2,23.0,36.5,52.3,39.3,84.6,59.1,25.5,6424.3,4491.7,1932.6,6547.6,4578.0,1969.7
Castletown Bearhaven,90,39,33.3,20.3,1997.9,1998.3,2000.2,1998.8,533.5,903.1,729.6,528.8,89.0,152.2,184.5,169.3,58.5,188.5,878.9,748.5,93.6,33.9,59.7,7029.1,2547.9,4481.2,7164.0,2596.8,4567.2
Waterford Great Island (Esb),77,20,100.1,104.4,2007.2,2003.6,2007.6,2009.0,126.4,168.4,173.0,164.2,11.0,24.2,17.3,15.4,10.0,23.3,17.4,20.7,35.6,25.7,9.9,2736.4,1981.4,755.0,2789.0,2019.5,769.5
Inisheer,58,22,49.8,66.8,1996.6,2002.0,1999.0,1999.3,350.5,447.7,376.5,370.0,31.0,42.8,68.0,68.8,14.0,34.3,37.2,32.1,20.8,14.0,6.9,1584.2,1064.4,519.8,1614.6,1084.9,529.8
Ringaskiddy Deepwater Terminal,55,30,97.9,42.7,2000.6,2001.3,1996.2,2003.4,179.9,290.2,229.0,182.0,32.0,70.3,40.2,66.5,13.0,48.6,26.5,42.0,42.3,32.1,10.2,3228.4,2451.6,776.8,3290.4,2498.7,791.7
Aughinish,50,45,286.2,503.0,2007.0,2006.9,2009.6,2009.7,354.4,381.6,415.5,418.0,32.0,42.2,62.7,62.2,25.0,43.2,58.1,58.4,42.9,29.5,13.4,3294.3,2274.0,1020.3,3357.6,2317.7,1039.9
