Domestic by Dep. Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Rotterdam Botlek,1290,426,1085.6,1666.1,2002.4,2005.9,2006.9,2007.3,74.7,162.7,202.5,207.9,28.0,74.8,207.4,211.2,15.0,41.3,55.4,53.8,762.3,480.6,281.7,57496.5,36236.4,21260.1,58600.4,36932.1,21668.3
Rotterdam Waalhaven,1088,314,611.3,774.3,2002.7,2005.3,2009.1,2009.0,58.8,143.6,113.9,116.2,21.0,91.1,122.3,123.7,12.0,58.4,105.7,82.8,526.9,358.4,168.5,39613.7,26939.4,12674.2,40374.3,27456.7,12917.6
Rotterdam Maasvlakte,1072,354,1391.5,1851.3,2006.8,2005.5,2008.9,2009.2,60.7,197.1,104.6,117.9,25.0,53.6,263.9,336.3,14.0,59.8,73.6,46.4,527.1,324.7,202.4,39675.7,24460.5,15215.1,40437.5,24930.2,15507.3
Hoek Van Holland,1015,155,958.1,1542.9,2007.1,2006.3,2006.9,2006.8,71.6,198.2,303.7,309.5,31.0,90.6,214.3,207.9,12.0,51.0,63.0,53.9,503.2,321.5,181.7,38139.9,24274.2,13865.8,38872.2,24740.2,14132.0
Ijmuiden,967,476,888.9,1149.1,2000.9,2000.4,2004.6,2005.8,118.4,396.5,144.9,130.1,51.0,147.5,333.4,286.4,20.0,104.6,122.1,94.9,1022.3,722.9,299.4,76805.1,54298.7,22506.4,78279.7,55341.3,22938.5
Rotterdam,910,150,1127.4,2066.9,2007.7,2008.3,2011.8,2012.1,67.5,190.4,343.5,376.7,24.0,88.9,548.4,571.6,16.0,64.3,60.8,60.1,496.6,249.1,247.5,37816.5,18861.1,18955.4,38542.6,19223.2,19319.3
Harlingen,731,204,309.5,285.3,1989.0,1989.5,1997.2,2000.0,263.4,823.0,518.6,415.3,61.0,174.2,421.5,331.1,31.0,130.7,188.6,134.3,620.4,389.4,231.0,46562.3,29221.4,17340.9,47456.3,29782.4,17673.9
Vlissingen,726,274,636.7,773.3,2002.3,2003.9,2007.6,2007.8,100.9,286.2,192.1,187.8,31.0,104.2,285.6,253.2,20.0,85.0,115.7,90.9,380.0,235.8,144.2,28562.5,17713.8,10848.6,29110.9,18053.9,11056.9
Den Helder,690,223,1124.5,749.2,1995.9,1994.5,2008.5,2005.9,266.3,963.1,1313.4,776.5,61.0,280.2,3893.9,1842.1,20.0,137.7,133.5,124.2,917.8,755.7,162.1,68205.3,56033.3,12172.0,69514.8,57109.1,12405.7
Vondelingenplaat,558,203,393.5,618.3,2001.7,2006.2,2005.2,2006.2,56.8,134.0,166.0,165.4,24.5,67.2,137.1,138.1,15.0,39.9,52.6,50.5,341.0,210.5,130.5,25747.0,15877.5,9869.5,26241.3,16182.4,10059.0
