Int. Arr. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Container,556,170,47702.3,54358.8,2005.1,2006.0,2008.7,2008.6,1222.6,1742.5,1807.4,1779.8,102.5,130.7,192.9,193.8,29.0,33.5,37.0,37.1,5382.9,5071.3,311.6,416395.2,392499.8,23895.4,424390.0,400035.8,24354.2
Bulk carrier,536,496,116922.8,218375.1,2010.0,2010.1,2009.3,2009.3,3316.6,4042.6,4269.6,4297.1,322.5,425.9,575.4,577.6,10.0,25.2,18.5,18.2,7248.4,7181.5,66.9,561343.0,556164.1,5178.9,572120.8,566842.5,5278.3
Oil tanker,128,96,47349.8,90064.5,2006.4,2005.9,2007.2,2007.2,3416.5,5089.6,5125.3,5168.1,313.0,539.7,646.6,646.0,15.0,19.9,13.5,13.0,3664.9,3470.6,194.3,283591.4,268567.7,15023.7,289036.4,273724.2,15312.1
Liquefied gas tanker,95,60,35653.7,30550.9,2009.6,2010.5,2010.2,2010.5,3539.8,5181.8,4914.9,4994.4,256.0,356.6,422.4,439.0,8.0,22.4,15.2,17.4,4185.1,4093.9,91.2,261114.6,254171.9,6942.7,266128.0,259052.0,7076.0
Miscellaneous - fishing,70,53,1372.2,1099.0,2002.7,2002.4,2004.6,2004.7,6266.4,13247.1,13731.3,15024.0,747.0,1695.1,3320.3,3329.2,79.5,444.3,717.3,692.5,619.0,573.8,45.1,46505.0,43115.6,3389.3,47397.9,43943.4,3454.4
General cargo,64,35,3970.8,4985.8,2003.4,2005.8,2004.9,2005.1,1782.4,4367.2,4500.7,4477.0,213.5,473.0,610.7,604.3,18.5,62.8,72.5,73.4,447.4,435.9,11.5,34459.4,33595.0,864.4,35121.0,34240.0,881.0
Refrigerated bulk,57,35,1102.7,1195.8,1992.6,1992.9,1998.2,1998.1,4016.5,5228.7,4299.8,4149.6,463.0,585.9,823.1,812.9,77.0,199.9,141.6,149.0,750.6,574.0,176.6,56817.9,43554.1,13263.8,57908.8,44390.3,13518.5
Chemical tanker,56,41,3735.9,6139.1,2008.8,2008.4,2007.5,2007.5,2286.7,3459.7,2804.6,2819.4,208.0,346.0,462.7,462.9,29.0,37.9,35.2,34.4,531.6,474.3,57.3,41135.3,36705.9,4429.3,41925.1,37410.7,4514.4
Cruise,41,19,1076.2,124.7,1995.4,1997.0,2001.1,1999.6,149.0,676.9,562.3,555.8,15.0,47.9,90.1,95.0,36.0,31.6,39.3,37.5,315.8,223.8,92.1,24461.2,17332.6,7128.6,24930.9,17665.4,7265.5
Vehicle,32,28,3485.8,1145.3,2006.8,2007.1,2004.6,2004.3,2217.8,2125.0,1851.9,1883.9,153.0,138.1,236.5,245.4,5.0,6.6,7.1,6.9,211.0,208.9,2.1,16343.0,16177.4,165.6,16656.8,16488.0,168.8
Service - tug,22,19,195.6,158.1,2005.3,2004.6,2010.6,2011.0,3363.1,3897.7,3817.1,4019.9,592.5,912.1,1093.8,1238.5,11.0,23.7,39.3,37.2,123.1,122.1,1.0,9412.7,9337.9,74.8,9593.5,9517.2,76.3
Offshore,15,14,1118.0,871.1,2012.1,2011.8,2014.9,2015.1,3325.8,3132.3,3643.1,3551.3,324.0,553.0,365.7,348.3,22.0,62.8,5.3,5.1,202.9,200.7,2.3,13675.6,13506.1,169.5,13938.2,13765.4,172.8
Service - other,13,10,351.7,197.3,1996.3,1998.9,2000.8,2000.3,3105.4,3730.3,4303.2,4160.2,318.0,407.2,663.8,658.0,59.0,235.8,304.5,206.0,98.3,82.8,15.5,7503.3,6340.8,1162.5,7647.4,6462.6,1184.8
Ro-Ro,1,1,3.1,1.6,2013.0,2013.0,2013.0,2013.0,131.4,131.4,131.4,131.4,10.0,10.0,10.0,10.0,5.0,5.0,5.0,5.0,0.7,0.6,0.1,52.8,47.9,4.9,53.8,48.8,5.0
