Int. Arr. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Cruise,534,79,26615.3,2383.7,2005.4,2003.2,2006.6,2006.2,374.4,529.9,474.9,481.6,20.5,34.9,40.2,40.6,7.0,7.5,7.3,7.4,5471.4,5000.0,471.4,422378.8,385863.5,36515.3,430488.5,393272.0,37216.4
General cargo,167,14,335.9,439.0,1996.9,1998.8,1999.8,1998.8,693.9,537.2,666.4,662.4,56.0,53.3,68.9,69.0,11.0,22.1,15.4,16.0,125.1,119.8,5.4,9411.2,9007.9,403.3,9591.8,9180.8,411.0
Ro-Ro,87,4,182.2,209.0,1986.4,1979.5,1987.8,1987.0,359.4,624.0,414.4,438.6,31.0,59.9,52.5,57.3,8.0,11.8,12.2,12.0,84.5,72.1,12.4,6436.8,5490.2,946.6,6560.4,5595.6,964.8
Container,31,5,96.6,126.9,1996.8,1997.2,1997.5,1997.4,745.4,707.2,724.2,723.8,68.0,65.0,79.3,79.5,8.0,6.4,8.9,8.9,33.1,30.9,2.3,2529.2,2358.9,170.3,2577.8,2404.1,173.6
Chemical tanker,28,22,922.1,1535.4,2010.2,2010.5,2009.7,2009.8,1002.2,1418.0,1391.6,1395.9,83.5,131.1,252.2,251.5,28.0,25.4,31.7,31.6,141.1,125.5,15.7,10900.3,9690.8,1209.5,11109.6,9876.9,1232.8
Bulk carrier,21,4,66.1,115.0,1971.9,1978.8,1988.5,1989.9,992.0,825.5,874.8,884.9,109.0,88.5,90.2,88.8,28.0,22.8,15.8,14.6,17.1,15.8,1.4,1294.0,1191.3,102.7,1318.9,1214.2,104.7
Liquefied gas tanker,13,9,182.5,204.9,2006.6,2007.3,2010.5,2010.5,895.8,818.2,872.2,875.4,74.0,73.2,86.1,86.5,21.0,19.1,20.1,19.9,31.1,27.4,3.7,2385.4,2101.1,284.3,2431.2,2141.4,289.8
Oil tanker,9,8,290.2,513.1,2003.7,2003.8,2004.1,2004.2,794.2,832.7,871.6,872.2,139.0,117.9,169.3,170.2,18.0,17.6,18.6,18.7,45.0,42.4,2.6,3484.2,3284.6,199.5,3551.1,3347.7,203.4
Service - other,2,2,21.0,10.4,1984.5,1984.5,1987.5,1985.6,4949.7,4949.7,2907.1,3270.5,736.5,736.5,510.7,653.4,17.0,17.0,13.8,15.8,16.9,16.5,0.4,1271.5,1242.0,29.5,1295.9,1265.8,30.1
Offshore,1,1,5.2,2.9,2009.0,2009.0,2009.0,2009.0,411.0,411.0,411.0,411.0,170.0,170.0,170.0,170.0,32.0,32.0,32.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Service - tug,1,1,0.6,0.6,2009.0,2009.0,2009.0,2009.0,378.0,378.0,378.0,378.0,87.0,87.0,87.0,87.0,16.0,16.0,16.0,16.0,0.2,0.2,0.0,14.8,13.8,1.0,15.1,14.1,1.0
