Int. Dep. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Container,239,51,6360.5,7807.2,2008.3,2008.2,2009.8,2009.6,827.6,1141.6,1370.1,1371.1,64.0,87.4,157.2,158.1,19.0,24.3,30.3,30.2,1178.3,1106.6,71.7,91020.6,85556.1,5464.5,92768.2,87198.8,5569.4
Cruise,183,28,15267.5,1424.3,1997.2,1999.1,1999.6,1998.9,973.9,1012.6,984.0,968.5,62.0,70.2,84.7,84.7,9.0,13.9,17.9,18.2,3239.4,2897.8,341.5,250923.0,224466.7,26456.3,255740.8,228776.5,26964.3
Bulk carrier,155,79,15396.4,26611.4,2013.4,2012.2,2013.7,2013.7,3969.9,3315.7,3394.7,3409.2,351.0,348.0,557.8,559.5,60.0,77.4,91.6,91.7,1318.3,1255.3,63.0,102093.8,97219.5,4874.3,104054.0,99086.1,4967.9
General cargo,53,18,2154.9,3375.9,2005.8,2008.2,2008.8,2009.3,743.5,2088.0,2181.0,2560.5,68.0,213.9,449.5,481.4,28.0,58.2,58.8,59.0,258.7,245.4,13.3,19904.1,18903.3,1000.8,20286.2,19266.2,1020.0
Chemical tanker,46,26,4316.9,7150.3,2010.7,2011.5,2011.5,2011.5,4151.6,3193.2,3590.6,3599.2,349.0,284.8,446.3,446.9,29.0,38.8,41.6,41.8,533.1,490.5,42.5,41090.0,37809.8,3280.2,41878.9,38535.8,3343.1
Vehicle,21,13,5543.8,1839.3,2009.0,2009.5,2009.3,2009.2,4539.3,4424.0,4401.3,4407.6,280.0,292.5,292.6,292.3,8.0,55.2,49.9,49.0,316.1,305.2,11.0,24489.3,23638.1,851.3,24959.5,24091.9,867.6
Liquefied gas tanker,21,4,99.4,107.9,2011.0,2009.5,2010.9,2011.1,1113.3,1211.1,1157.3,1154.0,101.0,126.2,134.4,133.9,32.0,28.5,36.6,36.8,51.1,40.1,11.1,3900.0,3067.7,832.2,3974.9,3126.6,848.2
Oil tanker,13,12,2049.5,3601.6,2007.9,2007.8,2007.8,2007.7,3485.5,3367.9,3435.8,3457.6,356.0,315.8,466.2,465.2,38.0,72.7,79.7,82.6,200.6,174.0,26.6,15539.8,13476.4,2063.3,15838.1,13735.2,2103.0
Miscellaneous - fishing,12,10,70.6,56.5,1997.9,1999.0,2001.0,2001.5,11139.8,13426.5,14781.7,13399.8,1623.0,1900.0,2930.4,2871.9,46.0,280.5,126.3,148.9,110.0,104.1,5.9,8258.7,7816.3,442.5,8417.3,7966.3,451.0
Service - other,7,6,243.6,170.6,2001.0,2001.0,2005.1,2004.2,2559.3,2750.9,3329.1,3261.8,577.0,1467.8,1421.0,1378.5,123.0,796.0,1199.8,1347.6,59.2,47.7,11.5,4459.1,3592.6,866.5,4544.7,3661.6,883.1
Service - tug,7,7,30.0,23.9,2003.3,2003.3,2011.4,2011.0,1659.8,3269.7,4581.7,4505.9,979.0,891.1,1218.9,1168.5,509.0,883.3,200.4,215.8,34.3,30.2,4.1,2578.5,2268.2,310.3,2628.0,2311.7,316.3
Ro-Ro,3,2,185.4,96.7,2013.0,2013.0,2013.0,2013.0,4645.4,8767.6,3824.2,3892.8,318.0,1052.5,402.1,437.6,57.0,445.5,117.7,135.4,56.8,49.7,7.1,4334.6,3796.6,538.0,4417.8,3869.5,548.3
Offshore,2,2,7.6,10.2,1993.0,1993.0,1995.8,1993.2,3500.9,3500.9,3238.8,3368.9,946.0,946.0,956.6,946.8,649.5,649.5,625.7,647.6,12.8,9.3,3.5,962.6,696.8,265.8,981.1,710.2,270.9
Refrigerated bulk,2,2,73.2,88.1,1998.5,1998.5,1998.5,1998.5,3864.4,3864.4,3864.3,3864.2,216.0,216.0,216.0,216.0,39.5,39.5,39.2,38.9,36.6,34.3,2.3,2803.2,2631.8,171.4,2857.0,2682.3,174.7
Ferry-RoPax,1,1,29.3,1.7,2008.0,2008.0,2008.0,2008.0,20599.0,20599.0,20599.0,20599.0,1021.0,1021.0,1021.0,1021.0,1215.0,1215.0,1215.0,1215.0,26.5,21.0,5.5,1990.2,1577.2,413.1,2028.5,1607.4,421.0
Ferry-pax only,1,1,13.7,2.0,2017.0,2017.0,2017.0,2017.0,41794.1,41794.1,41794.1,41794.1,5384.0,5384.0,5384.0,5384.0,22.0,22.0,22.0,22.0,18.4,18.3,0.0,1379.3,1376.6,2.7,1405.8,1403.0,2.7
