Int. Dep. by Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Dehtary,67,37,44.7,43.8,1993.1,1991.2,1999.7,2003.8,250.0,559.5,482.5,499.7,45.0,111.2,231.4,209.6,20.0,171.1,100.2,52.5,40.7,23.4,17.3,3053.9,1755.1,1298.8,3112.5,1788.8,1323.7
Kosor,39,18,10.4,6.5,1989.2,1987.4,1985.9,1987.5,159.3,455.4,401.7,392.1,39.0,87.1,182.9,152.1,17.0,57.2,73.5,64.1,11.5,8.2,3.3,865.8,614.8,251.0,882.5,626.6,255.8
Dobroviz,9,7,95.0,151.2,1996.7,1999.7,2004.7,2004.9,495.3,687.7,1275.0,1390.1,90.0,69.4,99.4,98.9,23.0,45.4,14.7,12.2,15.6,12.9,2.7,1196.4,987.7,208.6,1219.3,1006.7,212.6
Semcice,5,5,52.5,61.8,1989.4,1989.4,1990.7,1990.9,8182.0,6449.8,2591.4,2538.7,2067.0,1323.4,1858.7,1798.8,30.0,46.2,60.3,73.2,39.8,36.8,2.9,3006.3,2786.3,220.0,3064.0,2839.8,224.2
Novy Knin,1,1,0.1,0.0,1995.0,1995.0,1995.0,1995.0,267.1,267.1,267.1,267.1,23.0,23.0,23.0,23.0,9.0,9.0,9.0,9.0,0.2,0.1,0.0,11.5,8.3,3.2,11.7,8.4,3.3
Novy Vestec,1,1,0.2,0.3,1991.0,1991.0,1991.0,1991.0,64.3,64.3,64.3,64.3,33.0,33.0,33.0,33.0,4.0,4.0,4.0,4.0,0.2,0.2,0.1,17.9,13.9,4.0,18.2,14.1,4.1
Divisov,1,1,80.7,70.0,2005.0,2005.0,2005.0,2005.0,827.4,827.4,827.4,827.4,42.0,42.0,42.0,42.0,9.0,9.0,9.0,9.0,10.4,8.6,1.8,618.3,509.2,109.1,630.2,519.0,111.2
Chocen,1,1,43.2,83.1,2016.0,2016.0,2016.0,2016.0,460.0,460.0,460.0,460.0,37.0,37.0,37.0,37.0,141.0,141.0,141.0,141.0,2.6,1.4,1.1,195.0,110.9,84.2,198.8,113.0,85.8
Osice,1,1,0.1,0.1,2020.0,2020.0,2020.0,2020.0,81.4,81.4,81.4,81.4,50.0,50.0,50.0,50.0,158.0,158.0,158.0,158.0,0.1,0.0,0.1,10.3,2.8,7.5,10.5,2.8,7.7
Kadan,1,1,12.6,12.2,2019.0,2019.0,2019.0,2019.0,83.2,83.2,83.2,83.2,7.0,7.0,7.0,7.0,6.0,6.0,6.0,6.0,0.3,0.1,0.1,20.2,10.9,9.3,20.5,11.1,9.5
