Domestic by Arr. Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Zeytinburnu,3456,1465,5212.6,7824.4,1992.6,1994.5,1997.0,1997.5,82.2,241.2,273.1,271.2,20.0,59.3,191.2,193.6,13.0,25.7,24.9,24.4,1217.2,1019.9,197.2,92624.4,77784.2,14840.2,94402.8,79277.6,15125.1
Ambarli,2874,675,8295.5,11829.7,1999.3,2003.1,2006.3,2006.6,61.2,237.3,156.0,171.3,10.0,41.7,84.9,94.1,12.0,17.5,19.5,17.7,1596.0,1158.4,437.6,122390.7,89123.0,33267.7,124740.6,90834.2,33906.4
Bakirkoy,2339,1083,6084.7,10102.7,2003.1,2002.8,2006.2,2006.5,67.3,203.1,192.6,191.3,15.0,45.9,95.5,90.2,11.0,17.7,19.1,17.2,1844.8,1150.2,694.6,140912.5,88134.5,52778.0,143618.0,89826.7,53791.3
Nemrut,1962,855,13120.6,16527.8,1998.2,1998.2,2006.1,2005.8,288.9,362.6,337.4,346.4,30.0,44.2,47.4,49.8,31.0,71.1,37.6,40.6,2275.6,1674.3,601.2,174973.4,129066.3,45907.1,178332.9,131544.3,46788.6
Canakkale,1938,1134,6769.7,8941.1,1996.0,1998.9,2002.3,2001.9,278.3,404.8,315.2,313.2,17.0,39.1,107.4,68.9,12.0,23.1,48.0,40.0,1299.6,709.4,590.2,99330.5,54258.0,45072.5,101237.7,55299.8,45937.9
Yesilkoy,1936,1177,10194.8,17448.2,2003.3,2003.3,2007.9,2008.1,136.5,257.3,234.0,237.0,17.0,40.3,109.8,110.8,7.0,13.7,13.7,13.5,1754.9,1214.6,540.3,134875.9,93564.1,41311.8,137465.6,95360.6,42105.0
Gelibolu,1531,1159,7786.1,13464.3,2000.5,2001.0,2007.6,2008.0,154.5,253.9,255.1,263.9,16.0,44.9,112.0,106.7,6.0,14.5,36.0,37.7,1234.9,951.0,284.0,95093.5,73188.3,21905.2,96919.3,74593.5,22325.7
Eregli,1372,586,2580.5,4305.9,1995.4,1997.3,2004.8,2005.2,137.7,230.1,196.8,198.7,18.0,45.0,85.5,78.7,38.0,64.6,84.4,85.6,719.2,365.4,353.7,54764.6,27873.4,26891.3,55816.1,28408.6,27407.6
Diliskelesi,1306,401,1552.4,2092.2,2003.2,2000.3,2001.5,2001.6,61.7,192.6,135.9,139.8,19.0,53.4,53.6,57.6,12.0,37.3,28.3,30.0,595.3,400.3,195.0,45303.2,30519.4,14783.7,46173.0,31105.4,15067.6
Borusan Fertilizer Jetty,1306,387,2675.3,2750.6,2000.3,2000.2,2004.2,2003.5,73.0,174.2,94.0,101.5,9.0,32.7,29.6,34.7,12.0,37.6,21.7,27.2,572.9,401.9,171.0,43989.7,30916.8,13072.9,44834.3,31510.4,13323.9
Karabiga,1285,707,6456.4,11455.8,2004.9,2004.8,2008.2,2008.4,128.2,195.2,198.8,202.8,14.0,29.3,85.4,86.8,17.0,33.9,60.4,62.6,1071.8,728.0,343.8,82762.4,56245.4,26517.0,84351.4,57325.3,27026.1
Kartal,1251,525,1230.0,1971.0,1987.2,1993.2,1996.3,1997.3,125.8,210.2,165.6,165.3,33.0,84.1,131.9,125.1,17.0,42.3,47.4,44.6,445.5,337.9,107.6,33688.2,25584.3,8104.0,34335.0,26075.5,8259.6
Bandirma,1093,351,784.3,994.9,1986.6,1993.8,1995.3,1997.5,76.2,136.5,138.7,148.1,9.0,22.3,45.5,44.0,33.0,92.7,65.2,70.5,388.5,163.0,225.5,29468.6,12426.5,17042.1,30034.4,12665.1,17369.3
Tekirdag,917,369,2938.2,3810.1,1999.4,1998.6,2004.6,2004.6,95.3,150.7,132.1,135.9,11.0,39.5,38.3,40.8,24.0,56.3,29.4,29.6,629.9,363.6,266.3,48271.4,27978.2,20293.2,49198.2,28515.4,20682.8
Korfez,907,283,2773.3,4524.6,2004.1,2001.8,2009.2,2009.1,87.9,169.0,240.0,245.0,25.0,47.2,99.3,107.3,29.0,44.9,44.2,41.6,1290.2,652.1,638.0,98634.1,50049.0,48585.1,100527.9,51010.0,49518.0
Iskenderun,826,441,9940.0,12008.9,1998.7,1996.1,2002.6,2002.5,655.4,619.0,486.5,493.1,65.0,75.6,64.5,66.9,36.0,76.9,41.5,49.0,1444.0,1210.2,233.8,111261.3,93380.6,17880.8,113397.6,95173.5,18224.1
Evyap,704,187,1913.1,2405.6,2003.1,2002.9,2006.8,2006.4,65.9,178.8,128.1,137.1,12.0,36.5,40.3,41.8,13.0,37.0,23.9,26.1,491.5,332.4,159.1,37561.4,25452.3,12109.1,38282.6,25941.0,12341.6
Yarimca,652,164,2188.0,2743.0,1999.6,2000.8,2002.8,2003.0,76.8,165.0,216.8,211.5,17.0,35.4,74.5,73.6,13.5,40.2,37.2,37.5,586.1,420.3,165.8,44849.3,32223.6,12625.7,45710.4,32842.3,12868.1
Mersin-Free Zone,626,224,12977.5,14643.7,2002.8,2000.1,2008.9,2008.7,567.5,461.6,546.0,534.7,48.5,63.9,64.3,63.1,13.0,29.1,17.7,17.4,1395.6,1277.7,117.9,107875.0,98804.8,9070.2,109946.2,100701.8,9244.4
Samsun,620,285,1561.3,2312.2,1995.3,1998.7,2004.1,2004.3,376.6,408.5,377.8,373.1,38.0,57.7,69.0,59.1,39.0,74.0,84.1,83.3,425.9,287.5,138.4,32439.2,21998.1,10441.0,33062.0,22420.5,10641.5
Aliaga,596,158,2455.8,3762.7,2005.3,2002.3,2007.8,2007.7,302.1,377.9,338.7,336.2,31.0,59.3,96.7,99.8,46.0,60.6,68.7,68.7,1153.1,501.9,651.2,88152.6,38596.8,49555.8,89845.2,39337.8,50507.3
