Domestic by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
General cargo,17979,1815,18417.0,26423.6,1990.2,1994.6,1993.8,1993.7,177.1,250.2,301.9,301.1,24.0,41.7,127.1,126.1,24.0,48.4,66.6,65.5,6131.1,4090.0,2041.2,464453.4,310786.5,153666.9,473370.9,316753.6,156617.3
Container,5870,435,50428.0,58826.3,2003.5,2004.3,2006.2,2006.1,100.1,207.4,247.9,246.3,15.0,26.1,71.8,74.4,13.0,25.8,28.4,28.6,7734.8,5912.0,1822.7,596325.0,456619.6,139705.4,607774.4,465386.7,142387.7
Chemical tanker,5011,697,16622.1,26315.3,2005.6,2007.5,2007.1,2007.1,156.0,201.7,268.5,267.9,21.0,35.9,110.4,110.0,22.0,36.7,46.2,45.9,7125.8,3710.8,3415.0,544756.2,284924.1,259832.1,555215.6,290394.7,264820.9
Oil tanker,4590,606,31314.5,57605.8,2006.7,2008.0,2008.5,2008.5,85.6,215.3,273.6,276.2,17.0,35.0,124.9,125.7,12.0,38.7,46.9,46.7,7153.5,3475.0,3678.5,550489.8,267726.4,282763.4,561059.2,272866.8,288192.4
Bulk carrier,2998,1226,26728.3,45612.2,2004.0,2007.1,2006.0,2006.2,204.5,329.8,348.0,341.7,23.0,45.4,118.3,111.2,14.0,55.5,74.1,72.8,3059.8,2275.9,783.9,236168.0,175911.4,60256.5,240702.4,179288.9,61413.5
Service - tug,1080,111,228.0,142.6,2010.3,2005.0,2009.5,2008.8,130.7,636.4,495.3,412.8,51.0,349.3,916.3,794.7,24.0,177.3,291.1,249.7,766.8,567.0,199.7,57673.2,42661.0,15012.3,58780.6,43480.0,15300.5
Ro-Ro,951,49,1689.7,957.2,1983.8,1994.7,2000.1,1995.6,59.1,362.2,201.1,175.2,7.0,94.5,46.1,57.0,6.0,44.7,18.0,20.7,576.2,382.7,193.4,44050.9,29309.2,14741.8,44896.7,29871.9,15024.8
Liquefied gas tanker,745,91,4604.4,5435.7,1999.1,2006.4,2004.8,2004.8,157.8,370.9,397.4,403.4,21.0,45.4,106.0,106.1,18.0,52.3,72.5,72.7,1530.3,873.4,656.9,116887.3,66959.5,49927.8,119131.5,68245.1,50886.4
Vehicle,603,94,3213.8,1051.7,2005.0,2006.0,2006.1,2005.7,79.4,192.2,130.1,133.0,9.0,18.6,28.3,28.8,11.0,14.4,15.4,16.3,351.2,240.7,110.6,27165.7,18624.7,8541.0,27687.2,18982.3,8705.0
Ferry-pax only,350,18,226.5,31.1,2008.4,2006.4,2008.0,2009.5,421.1,769.2,1183.8,1241.9,58.0,105.0,636.6,664.1,33.0,207.1,141.7,220.6,240.6,166.9,73.7,18066.6,12534.3,5532.3,18413.5,12774.9,5638.6
Miscellaneous - fishing,318,18,100.3,76.2,2003.7,2003.7,2005.6,2002.1,237.2,559.4,411.8,382.3,33.0,282.9,217.8,199.7,14.0,431.6,184.7,178.5,140.2,76.6,63.6,10529.1,5751.1,4778.0,10731.3,5861.6,4869.7
Service - other,234,33,515.0,766.8,1999.6,1996.7,2009.5,2011.1,178.6,552.2,381.9,288.3,37.0,268.5,594.9,476.4,19.0,192.9,299.4,156.0,278.8,173.0,105.8,20993.7,13046.5,7947.2,21396.8,13297.0,8099.8
Ferry-RoPax,227,28,1339.0,395.0,1993.6,2000.6,1999.8,1996.4,427.0,2986.7,1227.5,679.4,33.0,493.4,2408.3,2025.0,23.0,245.4,278.9,318.7,728.6,574.2,154.5,54835.2,43232.6,11602.6,55888.0,44062.7,11825.3
Offshore,89,24,234.6,252.5,2006.4,2006.0,2004.7,2004.4,441.0,671.0,421.3,378.1,97.0,207.6,513.8,440.9,22.0,273.0,650.6,492.7,165.0,116.0,49.0,12432.0,8751.1,3680.9,12670.7,8919.2,3751.5
Cruise,14,3,10.1,1.8,1943.7,1954.7,1974.4,1971.6,178.2,190.9,268.2,266.3,27.0,115.2,57.6,61.7,29.0,38.8,31.4,32.8,72.1,48.2,23.9,5415.3,3618.4,1796.9,5519.3,3687.9,1831.4
Refrigerated bulk,8,7,19.0,20.3,1992.6,1992.7,1994.4,1994.3,93.0,336.9,310.1,317.6,21.0,30.9,50.2,51.6,8.0,89.5,136.6,153.6,17.7,7.4,10.3,1337.3,561.0,776.3,1363.0,571.8,791.2
