Int. Arr. by Partner,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Russian Federation,9587,2781,91507.7,153785.3,1997.3,2001.6,2006.4,2007.0,479.0,661.4,636.6,644.9,66.0,106.6,164.6,167.0,20.0,34.7,50.3,48.0,14113.9,11783.5,2330.4,1083903.4,906403.6,177499.8,1104714.4,923806.6,180907.8
Greece,7180,3186,69103.1,100174.9,2000.5,2001.3,2006.0,2006.5,363.9,474.3,431.8,451.2,36.0,62.8,87.7,95.9,16.0,53.8,39.0,40.9,10483.4,7569.4,2913.9,807097.6,583495.6,223602.0,822593.9,594698.7,227895.1
Ukraine,4449,2034,27587.2,41506.3,1997.1,2001.2,2004.0,2005.2,403.0,446.8,427.5,433.0,53.0,80.4,90.4,95.1,12.0,27.4,28.2,26.6,4734.6,4006.3,728.2,363009.4,307924.5,55085.0,369979.2,313836.6,56142.6
Italy,3054,1462,80615.2,100929.4,2004.2,2004.0,2007.4,2007.3,1147.7,1130.1,1188.5,1200.8,96.0,121.0,120.6,132.4,16.0,52.4,37.0,40.3,11485.3,10238.2,1247.1,886759.7,791124.5,95635.1,903785.4,806314.1,97471.3
Egypt,2235,1346,37838.1,54354.6,2001.7,2002.8,2005.8,2005.9,725.0,762.0,720.2,739.2,74.0,137.3,137.4,152.8,17.0,55.3,39.3,42.2,5191.8,4347.6,844.2,400052.0,335355.3,64696.7,407733.0,341794.1,65938.9
Romania,2035,1027,7395.0,10226.8,1997.5,2000.0,2003.5,2003.7,246.9,314.8,294.3,302.2,39.0,74.9,94.1,105.2,14.0,41.3,37.0,37.3,1620.4,1230.1,390.4,123977.1,94357.8,29619.3,126357.5,96169.5,30188.0
Israel,1758,620,20968.2,24563.5,1998.8,2001.5,2005.9,2006.0,562.0,688.5,682.5,664.6,65.0,123.1,92.6,101.4,25.0,53.8,46.2,44.2,3353.9,2728.0,625.9,257985.5,210154.0,47831.5,262938.8,214189.0,48749.8
Bulgaria,1477,721,3072.0,4590.9,1995.5,1998.7,2002.0,2002.2,194.6,263.7,262.3,263.9,31.0,64.8,126.1,134.4,19.0,42.7,51.5,51.7,1044.3,754.1,290.2,79713.8,57764.8,21949.0,81244.3,58873.9,22370.4
Cyprus,1368,365,5093.9,6933.5,1985.7,1997.9,2000.2,2002.2,154.2,796.3,584.1,691.5,18.0,133.6,169.5,177.5,19.0,46.2,46.0,36.9,1363.7,981.1,382.6,104228.3,75202.0,29026.3,106229.5,76645.8,29583.6
Spain,1090,863,41186.3,62615.6,2004.5,2004.8,2006.9,2007.4,1796.4,1933.6,1959.9,1972.7,169.0,197.7,197.6,203.7,24.0,67.9,66.8,68.0,5570.1,4865.9,704.3,428450.1,374523.6,53926.5,436676.3,381714.4,54961.9
Lebanon,1084,467,8744.9,10355.0,1992.7,1995.0,2003.6,2003.1,311.2,614.2,504.4,532.0,56.0,95.9,104.7,112.4,26.0,47.9,39.1,38.6,1437.4,1162.8,274.6,110336.6,89383.4,20953.2,112455.1,91099.6,21355.5
Malta,765,515,19559.9,30758.8,2005.4,2006.0,2007.5,2007.8,860.5,985.8,980.3,987.7,80.0,115.9,150.3,146.2,18.0,79.4,49.8,49.7,2784.8,2184.4,600.5,214469.5,168623.2,45846.3,218587.3,171860.8,46726.5
Georgia,518,250,3986.0,6027.5,2002.1,2001.5,2003.9,2004.6,584.7,636.5,534.7,551.0,57.0,98.1,79.9,79.3,16.0,40.7,33.2,33.5,714.1,600.4,113.7,54738.8,46145.2,8593.6,55789.8,47031.2,8758.6
France,483,285,20158.6,23785.2,2005.9,2005.5,2008.1,2008.6,1376.8,1849.2,1697.6,1916.8,123.0,183.5,195.7,251.1,18.0,55.1,42.1,54.4,2767.0,2525.0,242.0,213808.8,195214.1,18594.8,217914.0,198962.2,18951.8
Algeria,448,258,17824.5,20654.5,2003.2,2004.0,2004.0,2004.1,1450.8,1459.3,1563.8,1546.0,125.0,165.1,154.9,157.4,25.0,71.6,48.7,51.3,2529.1,2211.3,317.8,183347.5,159255.2,24092.3,186867.8,162312.9,24554.9
Gibraltar,423,411,24804.5,42464.3,2008.8,2009.0,2010.1,2010.2,1837.3,1907.1,1955.2,1954.2,158.0,175.2,183.0,184.2,48.0,94.7,87.1,86.7,2624.8,2334.2,290.6,201714.2,179632.6,22081.6,205587.1,183081.5,22505.6
Tunisia,339,273,4525.3,6771.5,2003.1,2003.5,2005.6,2005.8,1042.6,1109.0,1116.2,1122.4,101.0,128.7,140.5,145.5,17.0,49.7,52.6,54.2,779.5,665.7,113.7,59835.5,51213.0,8622.5,60984.4,52196.3,8788.1
