Domestic by Arr. Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Port Of Spain,480,43,1747.4,1366.4,1995.0,2000.8,1995.5,1995.5,86.8,1145.0,269.4,386.9,8.0,343.6,268.4,190.6,7.0,125.7,23.4,26.9,556.7,464.7,92.0,42412.2,35393.5,7018.6,43226.5,36073.1,7153.4
Scarborough,422,32,714.2,344.5,1992.7,2004.6,1992.7,1992.8,88.1,519.2,116.6,117.7,8.0,202.6,84.8,115.7,2.0,26.2,20.8,21.7,230.7,171.7,59.0,17557.6,13087.5,4470.1,17894.7,13338.8,4555.9
Chaguaramas,274,77,542.9,597.3,2007.5,2006.5,2008.2,2008.8,462.7,1221.5,699.9,554.6,133.0,489.8,933.0,1016.6,21.5,142.1,266.3,293.1,545.6,385.1,160.5,41022.6,28966.0,12056.6,41810.3,29522.2,12288.1
Guayaguayare,168,43,130.4,145.9,2006.0,2004.2,2004.9,2005.9,168.0,633.5,468.9,405.8,24.0,437.9,926.5,866.3,15.0,86.6,131.5,113.3,175.3,131.6,43.7,13209.2,9912.8,3296.4,13462.8,10103.1,3359.7
Pointe A Pierre,110,24,94.3,139.4,2006.4,2004.7,2006.8,2007.1,168.0,213.1,223.2,215.3,40.5,98.1,139.1,106.9,44.5,43.4,72.6,72.5,100.2,41.8,58.4,7568.2,3153.2,4415.0,7713.5,3213.8,4499.8
La Brea,98,35,144.2,166.3,2007.3,2006.2,2009.7,2009.7,393.2,749.1,521.3,429.6,135.5,347.3,769.7,734.1,44.5,107.5,174.1,160.3,133.6,94.5,39.1,10038.1,7100.9,2937.2,10230.8,7237.2,2993.6
Point Lisas,61,22,600.7,654.6,2004.5,2005.0,2015.2,2015.4,173.0,1546.3,3278.3,2634.5,61.0,297.0,1380.3,1378.4,21.0,59.8,34.4,38.1,120.7,99.7,21.0,9234.9,7637.5,1597.4,9412.2,7784.1,1628.1
Carenage,58,26,108.4,132.2,2005.2,2006.5,2011.2,2011.4,173.9,967.9,440.9,391.3,143.0,573.3,2094.0,1978.8,31.5,210.0,194.6,170.9,113.6,92.0,21.6,8534.3,6913.6,1620.7,8698.2,7046.4,1651.8
Tembladora,56,17,51.9,82.7,2004.2,1998.5,2007.1,2007.1,164.7,696.5,279.8,291.4,40.5,394.9,516.7,490.9,20.0,58.7,43.6,47.5,64.2,52.6,11.6,4833.3,3958.9,874.5,4926.1,4034.9,891.3
Point Fortin,26,23,280.9,233.3,2005.0,2005.4,2004.3,2004.1,57.9,809.0,165.8,164.9,33.5,366.7,176.1,217.3,28.0,260.8,48.4,43.7,85.9,55.7,30.2,6253.1,3943.0,2310.1,6373.1,4018.7,2354.5
Claxton Bay,23,7,1.4,2.0,1970.2,1977.6,1972.6,1972.1,96.7,131.4,89.0,86.7,13.0,204.0,116.6,70.3,77.0,79.1,100.1,102.1,3.5,1.8,1.8,266.5,134.0,132.5,271.6,136.6,135.0
Charlotteville,4,4,8.7,13.4,2007.8,2007.8,2009.5,2009.5,261.7,341.3,263.7,265.3,39.5,123.8,66.0,64.4,23.5,24.0,21.2,21.2,2.8,2.4,0.5,212.0,177.5,34.6,216.1,180.9,35.2
San Fernando,3,3,0.5,0.0,2005.3,2005.3,2009.8,2007.9,257.7,309.7,372.0,162.5,25.0,37.0,57.7,53.2,31.0,21.3,31.0,26.8,0.6,0.3,0.3,44.4,25.1,19.3,45.2,25.6,19.7
Couva,2,2,2.6,3.9,2003.5,2003.5,2001.3,2001.4,191.9,191.9,191.6,181.9,18.5,18.5,30.2,30.0,19.0,19.0,8.6,8.8,0.9,0.5,0.4,72.0,41.7,30.3,73.4,42.5,30.9
