Int. Arr. by Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Point Lisas,1415,411,52607.6,79050.8,2008.2,2008.0,2010.3,2010.1,818.0,1951.2,2160.0,2234.4,73.0,200.4,364.7,384.8,30.0,66.3,93.2,100.7,7284.6,6370.7,913.8,560934.3,491122.4,69811.9,571704.3,500551.9,71152.3
Port Of Spain,703,169,13281.4,10234.4,2000.5,2003.0,2006.1,2005.6,462.3,1208.0,960.9,997.2,40.0,133.1,196.7,167.3,19.0,91.0,25.1,36.5,2020.9,1749.3,271.6,155528.1,134924.0,20604.1,158514.3,137514.5,20999.7
Pointe A Pierre,531,268,22773.5,39712.3,2007.2,2008.4,2008.9,2008.9,605.0,2054.8,2183.6,2242.8,77.0,228.7,408.9,414.3,41.0,73.2,103.1,106.6,3129.9,2372.8,757.1,240987.1,182829.3,58157.8,245614.0,186339.6,59274.4
Chaguaramas,391,272,25550.0,36324.0,2006.9,2006.6,2008.0,2007.4,1205.7,2077.5,2600.8,2633.9,170.0,325.3,540.8,592.7,50.0,179.5,110.2,83.5,3578.8,2714.0,864.7,264752.7,198428.7,66324.0,269835.9,202238.5,67597.4
Point Fortin,178,65,76046.9,61506.3,2006.5,2009.1,2008.6,2008.6,3720.6,4767.4,4369.9,4361.5,301.0,373.5,453.8,456.2,29.0,43.3,42.3,42.4,8711.3,8419.2,292.1,532960.0,511425.3,21534.6,543192.8,521244.7,21948.1
Guayaguayare,142,23,1436.8,2460.3,1982.5,2005.5,2007.0,2007.1,112.4,1874.1,1611.5,1746.9,9.0,223.7,274.1,272.3,34.0,45.5,56.0,55.9,231.6,190.0,41.6,17838.7,14658.0,3180.8,18181.2,14939.4,3241.8
Claxton Bay,105,18,72.2,98.8,1976.7,1981.9,1978.5,1978.0,437.6,386.4,455.1,458.6,59.0,78.5,93.3,90.1,52.0,48.2,58.6,58.5,31.5,25.6,5.9,2368.4,1925.7,442.7,2413.9,1962.7,451.2
Tembladora,75,65,8204.0,15329.2,2003.3,2006.4,2013.5,2013.7,838.0,1811.9,3526.2,3697.1,117.0,198.1,691.7,705.8,8.0,95.5,8.7,7.8,543.2,519.5,23.8,41946.4,40147.3,1799.1,42751.7,40918.1,1833.7
Carenage,56,48,4161.7,7422.5,2006.6,2007.6,2010.8,2010.8,859.2,1747.1,2159.9,2113.7,100.0,260.6,602.9,597.0,6.0,44.3,15.5,10.8,403.8,392.0,11.8,31046.6,30156.2,890.5,31642.7,30735.2,907.6
Scarborough,56,36,1790.1,1195.6,2003.0,2002.1,2006.0,2006.9,476.4,1009.4,594.8,950.8,39.5,96.5,100.4,175.4,9.0,28.8,15.9,25.8,305.7,278.6,27.1,23651.5,21556.9,2094.7,24105.6,21970.7,2134.9
La Brea,53,50,5211.4,8460.3,2008.6,2008.3,2011.6,2011.4,1666.7,2604.4,2983.0,2942.4,175.0,283.0,477.9,486.8,68.0,172.7,199.4,201.5,513.5,452.6,61.0,38708.5,34041.8,4666.7,39451.7,34695.4,4756.3
Charlotteville,11,7,158.2,168.9,1994.9,1986.9,2006.6,2014.6,123.6,613.3,639.3,1887.8,16.0,58.0,153.5,209.6,10.0,10.3,3.2,0.4,19.2,16.3,3.0,1487.3,1260.2,227.1,1515.9,1284.4,231.5
San Fernando,2,1,8.9,15.7,1981.0,1981.0,1981.0,1981.0,3194.2,3194.2,3194.2,3194.2,781.5,781.5,825.4,825.4,21.5,21.5,18.7,18.7,9.9,9.7,0.2,744.4,731.9,12.5,758.7,745.9,12.7
