Int. Arr. by Partner,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Sweden,1728,490,9221.9,6022.4,2002.6,2001.2,2002.4,2006.4,264.8,483.5,320.3,453.1,22.0,45.0,84.1,76.6,13.0,38.2,25.7,55.2,1779.4,1445.6,333.8,133599.5,108521.8,25077.7,136164.6,110605.4,25559.2
Germany,735,323,5443.5,6775.0,1996.0,2002.1,2003.1,2007.8,413.4,705.2,656.3,867.9,41.0,64.5,76.3,95.5,18.0,44.1,82.5,101.8,1042.6,854.5,188.1,78310.5,64183.5,14127.0,79814.1,65415.8,14398.3
Denmark,683,386,3756.6,6102.5,1997.9,2000.0,2006.6,2007.5,514.9,671.1,721.5,723.1,51.0,62.7,99.4,89.8,32.0,69.3,108.7,110.1,800.5,525.8,274.7,60132.8,39501.3,20631.5,61287.3,40259.7,21027.6
Poland,562,361,1861.3,2944.2,1997.5,2000.4,2007.6,2007.9,350.4,483.9,503.6,504.5,35.0,66.8,67.2,62.2,34.0,59.7,78.6,82.2,421.2,255.7,165.5,31641.1,19209.3,12431.7,32248.6,19578.1,12670.4
Finland,346,154,1153.4,1439.1,2002.4,2002.0,2006.5,2005.8,353.3,471.3,445.1,476.5,31.0,44.8,43.3,47.1,21.5,33.7,52.8,67.5,309.9,243.4,66.5,23273.9,18280.4,4993.4,23720.7,18631.4,5089.3
Netherlands,286,241,7608.7,13244.1,2007.5,2007.7,2010.5,2010.7,1055.8,1172.8,1207.6,1213.3,93.0,126.3,137.1,137.0,47.5,71.3,96.3,98.3,987.3,749.1,238.2,74119.0,56236.7,17882.3,75542.1,57316.5,18225.6
Estonia,253,176,1191.8,1320.2,1997.6,1998.7,2002.6,2005.3,295.0,421.4,477.0,481.4,29.0,37.9,52.1,50.9,20.0,60.8,176.6,171.4,405.8,202.1,203.6,30476.6,15180.6,15296.0,31061.8,15472.1,15589.7
United Kingdom of Great Britain and Northern Ireland,246,161,3302.0,5427.2,2003.7,2005.2,2009.1,2009.3,1087.8,1318.5,1284.3,1290.0,104.0,120.8,126.2,126.7,39.0,70.5,85.5,88.0,542.8,409.0,133.8,40798.9,30747.8,10051.1,41582.2,31338.2,10244.0
Lithuania,236,149,540.8,614.8,1996.1,1999.7,2004.6,2003.9,246.7,284.1,278.5,271.6,16.0,41.3,33.2,36.6,31.5,48.2,43.3,55.3,206.1,98.8,107.3,15479.8,7421.8,8058.0,15777.1,7564.3,8212.7
Russian Federation,212,157,1633.8,2362.3,2000.2,2001.0,2004.8,2005.8,438.3,580.5,622.8,593.8,40.0,54.5,136.7,124.8,32.0,77.6,205.0,172.9,549.4,305.7,243.8,41324.1,23020.9,18303.1,42117.5,23462.9,18654.5
Norway,182,131,990.5,1484.3,2001.9,2002.1,2005.3,2005.8,858.6,936.1,1018.4,1012.2,79.0,84.1,100.3,99.9,26.0,54.7,73.2,76.6,232.3,186.4,45.9,17455.9,14009.0,3447.0,17791.1,14277.9,3513.1
Belgium,85,72,2226.8,3403.2,2004.5,2005.3,2006.5,2007.4,1231.0,1241.5,1313.1,1302.5,96.0,106.5,113.1,115.7,41.0,67.3,70.8,74.4,296.9,244.2,52.7,22312.6,18350.7,3961.9,22741.0,18703.0,4037.9
France,39,39,1045.3,1828.7,2007.0,2007.0,2012.7,2013.0,1254.7,1369.2,1427.3,1432.3,125.0,150.2,227.3,235.7,37.0,50.3,69.5,69.6,132.9,117.4,15.4,9994.7,8835.8,1159.0,10186.6,9005.4,1181.2
Spain,30,30,1458.3,2484.0,2007.5,2007.5,2011.5,2011.5,2418.7,2318.3,2553.6,2571.4,211.0,212.7,234.5,235.8,45.0,78.6,74.5,74.2,158.2,142.0,16.2,11989.2,10771.9,1217.3,12219.4,10978.7,1240.7
Ireland,10,10,326.5,528.5,2009.1,2009.1,2011.0,2011.3,2201.5,2475.0,2307.7,2309.5,191.5,216.9,231.5,231.6,54.0,79.1,96.3,96.7,49.7,45.3,4.4,3755.2,3425.2,330.0,3827.3,3491.0,336.3
Morocco,3,3,94.0,150.5,2006.0,2006.0,2007.5,2007.5,2278.4,2303.3,2411.3,2414.5,294.0,278.7,293.6,293.7,11.0,43.0,40.5,40.8,12.6,12.0,0.6,953.4,908.0,45.4,971.7,925.5,46.2
Brazil,3,3,461.4,780.1,2005.3,2005.3,2005.4,2005.3,5890.9,6026.4,6097.2,6097.4,489.0,488.0,495.5,495.8,177.0,168.0,181.2,186.2,57.4,51.1,6.2,4393.0,3922.1,470.9,4477.3,3997.4,479.9
Guinea,3,2,118.2,194.7,2008.3,2008.5,2009.0,2009.0,259.4,2123.6,2612.9,2667.7,30.0,177.8,328.3,328.7,41.0,114.2,184.8,185.0,27.4,18.1,9.3,2083.1,1383.9,699.2,2123.1,1410.4,712.6
Portugal,3,3,110.8,189.3,2008.7,2008.7,2008.2,2008.2,2540.4,2512.9,2171.8,2160.9,252.0,270.7,207.3,204.4,35.0,81.3,50.6,49.0,15.3,12.1,3.1,1153.3,917.0,236.2,1175.4,934.6,240.8
Iceland,2,2,38.1,58.7,2001.5,2001.5,2004.2,2004.7,1919.4,1919.4,1880.7,1874.0,145.0,145.0,152.2,153.6,24.5,24.5,30.2,31.3,7.4,6.9,0.4,556.9,523.9,33.0,567.6,533.9,33.6
Turkey,2,2,406.9,713.3,2014.0,2014.0,2014.0,2014.1,4857.1,4857.1,4854.3,4861.7,409.0,409.0,409.1,409.6,187.5,187.5,187.1,184.3,28.8,26.2,2.7,2207.4,2007.7,199.7,2249.8,2046.2,203.5
South Africa,2,2,644.7,1176.6,2016.5,2016.5,2016.5,2016.5,8149.9,8149.9,8108.0,8085.9,699.5,699.5,697.5,693.2,185.5,185.5,188.7,195.5,56.2,52.9,3.3,4316.4,4069.4,247.0,4399.3,4147.6,251.7
Gibraltar,2,2,170.6,298.5,2005.5,2005.5,2005.5,2005.6,2353.9,2353.9,2348.5,2345.8,212.0,212.0,212.3,212.4,143.5,143.5,145.9,147.4,15.3,13.7,1.6,1164.0,1045.2,118.8,1186.3,1065.2,121.1
Mauritania,1,1,37.5,60.6,2005.0,2005.0,2005.0,2005.0,3214.0,3214.0,3214.0,3214.0,281.0,281.0,281.0,281.0,199.0,199.0,199.0,199.0,6.0,5.5,0.5,455.5,419.9,35.5,464.2,428.0,36.2
Greece,1,1,1.3,0.3,1986.0,1986.0,1986.0,1986.0,3248.3,3248.3,3248.3,3248.3,398.0,398.0,398.0,398.0,936.0,936.0,936.0,936.0,3.5,2.9,0.6,261.7,216.1,45.6,266.7,220.2,46.5
Italy,1,1,24.1,38.5,2003.0,2003.0,2003.0,2003.0,1036.0,1036.0,1036.0,1036.0,141.0,141.0,141.0,141.0,36.0,36.0,36.0,36.0,5.1,4.8,0.3,384.7,359.7,24.9,392.0,366.6,25.4
