Int. Arr. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Cruise,234,45,1614.4,159.2,1985.7,1993.3,2004.8,2002.5,109.3,152.8,183.3,176.4,15.0,16.7,19.8,20.4,9.0,9.4,8.5,8.7,440.3,332.1,108.2,33977.0,25655.9,8321.1,34629.3,26148.5,8480.9
Ferry-RoPax,204,5,33.9,7.9,1967.9,1966.8,1967.6,1967.4,164.6,446.5,196.8,185.9,18.0,22.8,61.8,67.7,8.0,40.8,45.2,39.5,66.4,38.6,27.8,4985.7,2900.1,2085.6,5081.5,2955.8,2125.6
Container,134,25,324.7,406.2,2007.4,2007.8,2007.5,2007.4,110.1,210.6,190.6,196.1,10.5,17.6,29.3,30.4,5.0,6.7,5.7,5.6,84.7,76.0,8.7,6501.0,5841.0,660.1,6625.8,5953.1,672.7
General cargo,93,26,101.9,137.5,1991.1,1991.0,2002.2,2002.0,95.9,424.9,187.6,208.6,9.0,60.8,106.4,112.7,11.0,48.6,59.0,62.4,36.5,30.3,6.3,2785.0,2313.5,471.6,2838.5,2357.9,480.6
Oil tanker,47,7,39.1,62.6,1999.4,2002.4,2000.3,2000.1,152.5,197.6,187.2,185.1,24.0,24.4,35.0,35.2,11.0,17.2,16.4,15.9,25.3,17.3,8.0,1924.4,1319.5,604.8,1961.3,1344.9,616.5
Chemical tanker,46,7,43.4,67.9,2008.7,2006.1,2008.0,2007.8,139.6,196.1,160.8,160.6,14.0,22.3,28.2,28.3,18.0,46.8,26.7,26.0,28.5,13.6,15.0,2161.9,1036.8,1125.1,2203.4,1056.7,1146.7
Offshore,35,6,7.3,8.4,1993.8,2003.3,1995.3,1987.0,78.8,882.7,169.2,259.1,19.0,100.2,253.1,335.3,14.0,25.9,43.1,49.5,14.7,11.8,2.9,1103.4,886.4,217.1,1124.6,903.4,221.3
Refrigerated bulk,35,7,158.1,172.7,2002.9,2001.1,1998.6,1998.7,97.6,717.5,334.1,329.1,8.0,44.3,179.3,178.0,6.0,6.1,8.0,8.0,63.1,57.0,6.1,4823.5,4363.6,459.8,4916.1,4447.4,468.6
Liquefied gas tanker,28,2,15.6,16.0,2009.9,2008.5,2009.8,2009.8,92.8,149.0,147.9,147.9,9.0,13.5,33.1,33.1,13.5,17.5,17.1,17.1,14.9,7.2,7.6,1129.4,555.6,573.8,1151.1,566.3,584.8
Vehicle,23,13,105.3,32.6,2006.8,2004.3,2004.8,2004.7,105.5,123.1,117.3,117.8,12.0,14.2,15.0,15.0,3.0,9.2,10.0,9.9,8.8,7.3,1.5,681.5,563.7,117.8,694.6,574.6,120.1
Miscellaneous - fishing,21,1,0.6,0.5,1955.0,1955.0,1955.0,1955.0,172.2,172.2,140.5,140.5,18.0,18.0,26.6,26.6,47.0,47.0,182.4,182.4,6.0,2.3,3.7,450.2,173.1,277.1,458.9,176.4,282.5
Service - tug,10,6,0.8,0.7,1983.3,1989.8,1995.2,1997.0,158.1,265.5,207.5,222.7,38.5,456.2,799.9,951.1,24.5,18.2,10.7,8.5,3.6,3.4,0.2,267.5,254.9,12.6,272.6,259.8,12.8
Ferry-pax only,2,2,0.7,0.9,1971.0,1971.0,1942.4,1931.8,1532.1,1532.1,791.7,2473.8,282.5,282.5,470.7,541.0,28.0,28.0,43.7,49.6,1.2,1.1,0.1,87.1,80.0,7.1,88.7,81.5,7.2
Ro-Ro,2,1,2.5,4.3,1975.0,1975.0,1975.0,1975.0,988.4,988.4,988.4,988.4,129.0,129.0,150.9,150.9,73.0,73.0,93.4,93.4,3.2,1.8,1.4,241.6,133.6,108.0,246.2,136.2,110.0
Bulk carrier,2,2,5.7,9.1,2012.5,2012.5,2012.7,2012.7,126.8,126.8,128.7,129.2,14.5,14.5,15.9,16.0,60.0,60.0,62.9,63.0,0.8,0.5,0.3,59.3,36.7,22.6,60.4,37.4,23.0
Service - other,1,1,0.5,0.1,2005.0,2005.0,2005.0,2005.0,2136.0,2136.0,2136.0,2136.0,195.0,195.0,195.0,195.0,94.0,94.0,94.0,94.0,1.4,1.2,0.2,104.1,91.8,12.3,106.1,93.6,12.5
