Int. Arr. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Ferry-pax only,137,3,2.9,4.7,2004.1,2000.3,2002.1,1991.2,85.9,86.1,119.2,183.8,11.0,10.3,12.9,7.6,23.0,17.3,630.5,2277.9,22.0,4.3,17.7,1654.5,326.1,1328.4,1686.3,332.3,1353.9
Container,77,22,2110.7,2622.5,2003.6,2003.2,2001.5,2001.6,948.1,1272.2,1488.7,1471.4,83.0,115.5,184.1,183.6,63.0,63.2,68.8,68.4,451.4,389.7,61.6,34839.8,30130.0,4709.8,35508.7,30708.5,4800.2
General cargo,40,8,135.0,179.9,2008.0,2006.8,2008.4,2008.4,361.3,493.5,532.7,535.2,32.0,56.9,102.9,102.3,70.5,62.3,74.4,73.8,44.3,35.6,8.7,3399.2,2746.0,653.2,3464.5,2798.7,665.8
Bulk carrier,11,7,469.4,801.2,2010.1,2009.6,2013.0,2013.1,805.3,1981.4,2552.9,2656.6,343.0,343.6,578.7,585.2,81.0,82.9,36.2,34.5,51.6,49.1,2.5,3982.5,3791.8,190.7,4058.9,3864.6,194.3
Chemical tanker,10,1,280.1,467.8,2014.0,2014.0,2014.0,2014.0,844.2,844.2,935.8,935.8,126.0,126.0,138.0,138.0,16.5,16.5,20.8,20.8,38.8,34.1,4.8,3008.8,2638.5,370.4,3066.6,2689.2,377.5
Liquefied gas tanker,8,2,29.8,33.8,2011.0,2008.0,2007.8,2007.3,825.8,1007.6,897.6,924.4,77.0,97.5,116.6,119.9,20.0,19.8,19.3,19.5,10.0,8.2,1.8,763.3,630.6,132.7,777.9,642.7,135.2
Cruise,6,3,128.0,22.2,1983.3,1993.7,1981.9,1977.7,843.9,688.2,701.0,732.6,74.5,65.2,73.0,72.6,8.0,8.3,8.2,8.2,33.3,31.1,2.2,2580.8,2412.6,168.2,2630.3,2458.9,171.4
Ro-Ro,5,3,141.5,72.4,2006.6,2008.3,2013.0,2012.9,663.0,1158.6,2900.6,2794.2,85.0,117.7,221.3,220.5,23.0,23.8,22.8,22.8,24.4,23.4,1.0,1885.2,1806.2,79.0,1921.4,1840.8,80.5
Service - other,1,1,1.1,0.5,1973.0,1973.0,1973.0,1973.0,797.0,797.0,797.0,797.0,210.0,210.0,210.0,210.0,5.0,5.0,5.0,5.0,0.6,0.6,0.0,45.0,44.2,0.7,45.8,45.1,0.8
Other liquids tankers,1,1,27.4,31.0,2009.0,2009.0,2009.0,2009.0,888.0,888.0,888.0,888.0,51.0,51.0,51.0,51.0,39.0,39.0,39.0,39.0,4.4,4.2,0.3,343.5,322.7,20.9,350.1,328.9,21.3
Oil tanker,1,1,787.0,1544.8,2011.0,2011.0,2011.0,2011.0,4780.0,4780.0,4780.0,4780.0,422.0,422.0,422.0,422.0,0.0,0.0,0.0,0.0,41.7,41.7,0.0,3228.1,3228.1,0.0,3290.1,3290.1,0.0
Service - tug,1,1,0.6,0.4,2011.0,2011.0,2011.0,2011.0,1901.4,1901.4,1901.4,1901.4,1932.0,1932.0,1932.0,1932.0,3.0,3.0,3.0,3.0,2.1,2.1,0.0,156.8,156.7,0.1,159.8,159.7,0.1
