Int. Dep. by Partner,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Italy,594,253,3434.8,3719.0,2003.0,2004.2,2006.2,2008.0,109.3,393.3,273.2,307.1,15.0,54.4,69.9,79.5,21.0,56.6,66.1,88.9,701.3,436.1,265.1,53922.8,33604.6,20318.3,54958.2,34249.8,20708.4
Croatia,199,89,1035.3,849.4,2001.3,2000.3,2003.3,2003.8,165.9,348.3,236.7,219.6,15.0,31.3,29.7,32.0,11.0,44.4,39.7,62.3,251.1,183.4,67.7,19351.3,14166.7,5184.6,19722.8,14438.7,5284.1
Greece,188,107,4438.2,3487.8,2004.9,2003.5,2007.0,2006.9,861.8,992.8,908.0,948.0,70.0,84.5,77.1,87.9,11.0,31.7,21.4,31.7,507.9,446.8,61.1,39243.0,34537.2,4705.9,39996.5,35200.3,4796.2
Turkey,139,93,4323.6,4267.4,2005.9,2006.2,2007.9,2007.7,1185.0,1227.7,1231.0,1246.6,97.0,110.7,100.0,110.2,16.0,47.5,34.5,43.7,466.4,427.0,39.4,36032.5,33009.6,3022.9,36724.3,33643.3,3081.0
Malta,105,62,3790.8,4234.2,2006.1,2005.4,2006.8,2007.5,768.2,872.1,842.0,819.9,62.0,74.7,67.1,67.8,16.0,18.6,20.5,19.8,472.7,439.8,32.8,36588.5,34052.6,2535.8,37291.0,34706.4,2584.5
Algeria,58,22,764.3,725.4,2004.8,2005.9,2006.2,2005.9,1354.5,1469.9,1405.0,1432.4,130.5,125.9,127.8,142.0,60.0,69.7,59.6,84.2,126.1,105.8,20.3,9708.6,8169.1,1539.5,9895.0,8326.0,1569.1
Spain,52,28,3417.5,3303.1,2002.8,2005.9,2003.4,2007.2,1706.7,1711.2,1723.7,1753.5,124.0,156.0,134.5,155.7,16.0,15.9,18.7,15.1,211.3,196.6,14.8,16358.9,15215.3,1143.6,16673.0,15507.4,1165.6
Singapore,40,33,14589.8,4725.2,2006.6,2007.1,2006.8,2006.6,6472.3,6472.0,6482.5,6479.5,423.0,426.7,425.9,426.9,9.5,11.3,11.4,11.4,905.3,900.6,4.6,70119.1,69761.9,357.2,71465.4,71101.3,364.1
Israel,28,9,495.0,237.7,1987.2,1986.7,1994.3,1992.9,1388.7,1436.0,1432.9,1438.3,97.5,138.1,107.2,112.1,16.0,26.4,20.5,21.1,62.6,60.3,2.3,4833.7,4658.4,175.3,4926.5,4747.8,178.7
Lebanon,26,11,205.9,174.5,1977.0,1981.6,1997.4,1996.0,1409.8,1460.2,1516.2,1597.4,143.5,141.5,119.5,131.4,35.5,112.1,60.8,92.7,34.9,31.4,3.4,2642.1,2379.6,262.5,2692.9,2425.3,267.5
Gibraltar,22,21,1923.7,3596.8,2009.7,2009.8,2010.2,2010.3,1715.3,1758.8,1750.3,1747.3,152.5,168.5,174.5,174.8,10.0,10.7,12.0,12.1,122.3,120.1,2.2,9460.1,9290.3,169.8,9641.8,9468.7,173.1
Egypt,19,13,610.2,636.8,1995.5,1995.8,2004.8,2006.2,1285.3,1329.9,1321.5,1323.0,103.0,115.5,93.1,94.5,24.0,43.7,22.3,24.9,71.5,66.9,4.6,5527.7,5171.0,356.7,5633.8,5270.3,363.5
Tunisia,15,14,490.9,239.3,2006.7,2006.6,2009.0,2007.9,1004.0,1027.0,997.0,1022.7,87.0,82.9,68.5,80.9,25.0,40.2,18.2,33.0,37.5,33.6,3.9,2899.2,2600.3,298.9,2954.8,2650.2,304.6
France,13,11,359.2,246.5,2001.5,2001.8,1998.8,2003.2,782.8,1039.2,1153.1,862.0,46.0,84.3,131.2,120.1,13.0,21.9,20.1,33.6,33.4,26.8,6.7,2584.5,2070.1,514.4,2634.1,2109.9,524.3
Libya,11,10,127.5,139.1,1998.5,2000.0,2003.0,2002.5,988.7,976.7,962.1,1010.4,91.0,96.5,75.9,83.6,55.0,58.0,30.6,38.9,19.4,16.2,3.2,1491.2,1249.0,242.1,1519.8,1273.0,246.8
United States of America,6,6,1319.9,2393.6,2010.3,2010.3,2011.8,2012.0,5244.0,4899.1,4753.6,5525.3,639.5,627.0,703.1,724.3,63.0,64.8,70.8,71.4,89.5,86.6,2.9,6897.0,6675.7,221.3,7029.4,6803.9,225.5
Montenegro,5,5,38.8,63.3,1999.4,1999.4,2003.9,2005.5,370.2,416.0,393.5,388.7,40.0,41.2,37.4,37.9,32.0,82.0,104.8,115.3,5.1,3.2,1.9,393.6,248.3,145.3,401.2,253.1,148.1
Albania,5,4,26.2,21.7,1995.8,1998.8,2012.5,2011.0,408.2,615.0,649.6,464.2,61.0,62.5,66.1,47.4,35.0,23.8,22.8,32.4,8.7,7.5,1.2,658.6,564.7,93.9,671.2,575.5,95.7
Morocco,4,4,82.9,141.1,2008.2,2008.2,2010.9,2011.0,1890.5,1900.6,1906.8,1906.3,202.0,218.8,219.3,218.9,31.5,33.8,42.1,42.4,10.8,10.5,0.3,834.8,810.1,24.6,850.8,825.7,25.1
