Int. Arr. by Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Koper,1521,602,52046.9,56393.6,2003.1,2004.4,2008.0,2009.0,739.2,1511.7,1354.6,1562.7,72.0,150.5,328.6,418.4,32.0,67.3,86.3,114.9,5648.0,5012.4,635.7,436064.7,387234.2,48830.5,444437.1,394669.1,49768.0
Piran,39,19,268.2,340.3,1995.8,2000.8,2007.3,2008.3,215.9,777.2,490.8,965.2,15.0,156.9,91.0,106.0,11.0,9.6,4.9,1.7,58.5,48.1,10.4,4484.3,3692.3,792.0,4570.4,3763.2,807.2
Izola,5,5,813.9,860.1,2009.0,2009.0,2012.4,2011.4,1171.7,2795.0,2993.2,2181.0,114.0,234.4,403.1,337.9,101.0,264.2,316.8,470.6,58.6,48.7,9.9,4525.5,3759.1,766.4,4612.4,3831.2,781.1
Vransko,1,1,0.6,0.4,1971.0,1971.0,1971.0,1971.0,191.8,191.8,191.8,191.8,16.0,16.0,16.0,16.0,15.0,15.0,15.0,15.0,0.2,0.1,0.1,13.7,6.6,7.1,14.0,6.8,7.2
Mala Nedelja,1,1,24.5,12.1,1984.0,1984.0,1984.0,1984.0,3911.6,3911.6,3911.6,3911.6,420.0,420.0,420.0,420.0,32.0,32.0,32.0,32.0,5.6,5.2,0.4,421.0,391.2,29.8,429.0,398.7,30.4
Lucija,1,1,0.0,0.0,2002.0,2002.0,2002.0,2002.0,71.3,71.3,71.3,71.3,15.0,15.0,15.0,15.0,3.0,3.0,3.0,3.0,0.1,0.0,0.0,3.8,3.4,0.4,3.8,3.4,0.4
Zagorje Ob Savi,1,1,0.0,0.0,1986.0,1986.0,1986.0,1986.0,49.6,49.6,49.6,49.6,17.0,17.0,17.0,17.0,646.0,646.0,646.0,646.0,1.1,0.0,1.0,81.0,2.3,78.7,82.5,2.3,80.2
Lukovica Pri Domzalah,1,1,205.7,64.7,2003.0,2003.0,2003.0,2003.0,3709.3,3709.3,3709.3,3709.3,233.0,233.0,233.0,233.0,2.0,2.0,2.0,2.0,12.8,12.7,0.0,987.9,986.6,1.3,1006.9,1005.6,1.3
Vremski Britof,1,1,20.9,40.4,2011.0,2011.0,2011.0,2011.0,226.3,226.3,226.3,226.3,72.0,72.0,72.0,72.0,1950.0,1950.0,1950.0,1950.0,13.5,0.5,13.0,1048.9,38.5,1010.3,1069.0,39.3,1029.7
Zgornji Leskovec,1,1,0.2,0.1,2012.0,2012.0,2012.0,2012.0,427.1,427.1,427.1,427.1,741.0,741.0,741.0,741.0,29.0,29.0,29.0,29.0,1.5,1.4,0.1,112.5,108.7,3.8,114.7,110.8,3.9
